month,store_id,channel,store_format,region,city,profit_profile,staff_count,orders,gmv,msrp_gmv,transaction_gmv,gross_sales,net_sales,recognized_revenue,cogs,gross_profit,gross_margin_pct,rent_expense,payroll_expense,utilities_expense,local_marketing_expense,logistics_expense,warehouse_expense,hq_sga,brand_marketing_expense,total_opex,store_direct_costs,store_cm,store_cm_pct,market_contribution,ebitda_proxy,operating_profit,operating_margin,bep_revenue,rent_to_sales_ratio,payroll_to_sales_ratio,sales_per_staff
2026-01-01,S011,Himaxx Warehouse Outlet,Community Warehouse,West China,Chengdu,At Risk,57,198,59346.96,290658.2,59346.96,59346.96,56970.37,46488.36,26998.94,19489.42,0.4192,23467.33,27023.77,4023.5,4819.61,7447.1,9338.55,7104.91,5066.88,88291.65,59334.2,-39844.78,-0.8571,-56630.43,-68802.23,-68802.23,-1.48,141530.62,0.5048,0.5813,815.59
2026-01-01,S012,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,High Profit,63,410,112428.22,573543.29,112428.22,112428.22,108055.86,82223.06,50792.4,31430.66,0.3823,17946.76,20417.95,4946.14,3975.35,8450.0,5918.56,10319.79,2134.24,74108.78,47286.2,-15855.54,-0.1928,-30224.09,-42678.12,-42678.12,-0.5191,123701.38,0.2183,0.2483,1305.13
2026-01-01,S013,Himaxx Warehouse Outlet,Community Warehouse,South China,Shenzhen,High Profit,49,358,102089.16,500148.8,102089.16,102089.16,97129.23,78552.77,46701.75,31851.02,0.4055,13862.0,16342.65,2544.45,4311.94,6919.57,4718.88,7594.66,1586.49,57880.64,37061.04,-5210.02,-0.0663,-16848.47,-26029.62,-26029.62,-0.3314,91402.01,0.1765,0.208,1603.12
2026-01-01,S014,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,Stable,39,251,76492.59,373958.72,76492.59,76492.59,73579.85,56393.21,34349.17,22044.04,0.3909,22299.48,31594.09,6517.36,4670.06,10061.0,7484.54,9216.82,2566.7,94410.05,65080.99,-43036.95,-0.7632,-60582.49,-72366.01,-72366.01,-1.2832,166490.63,0.3954,0.5602,1445.98
2026-01-01,S015,Himaxx Warehouse Outlet,Mall Warehouse,East China,Hangzhou,Stable,64,250,71668.55,355781.68,71668.55,71668.55,67259.06,52698.59,32892.18,19806.41,0.3758,9119.34,12946.88,2683.0,1859.56,4272.8,2090.74,4518.39,1031.03,38521.73,26608.77,-6802.36,-0.1291,-13165.9,-18715.32,-18715.32,-0.3551,70797.53,0.173,0.2457,823.42
2026-01-01,S016,Himaxx Warehouse Outlet,Shopping Center Warehouse,West China,Chengdu,High Profit,74,389,105863.94,531467.73,105863.94,105863.94,101492.95,79754.73,49683.13,30071.6,0.3771,6173.35,9555.54,1619.14,2146.22,4360.06,4020.19,3857.84,2100.31,33832.65,19494.24,10577.36,0.1326,2197.1,-3761.05,-3761.05,-0.0472,51701.88,0.0774,0.1198,1077.77
2026-01-01,S017,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Hangzhou,Stable,37,238,64419.06,308939.29,64419.06,64419.06,62784.49,44866.11,24481.74,20384.37,0.4543,7819.68,12810.52,1807.07,2477.65,4720.89,3727.47,3611.19,1047.71,38022.17,24914.91,-4530.54,-0.101,-12978.9,-17637.8,-17637.8,-0.3931,54837.86,0.1743,0.2855,1212.6
2026-01-01,S018,Himaxx Warehouse Outlet,Mall Warehouse,West China,Xi'an,High Profit,58,335,91572.12,454683.98,91572.12,91572.12,87445.77,67543.94,41671.25,25872.69,0.383,8208.86,10590.84,2310.53,2824.54,4707.87,3057.55,3621.3,1076.31,36397.79,23934.76,1937.93,0.0287,-5827.49,-10525.1,-10525.1,-0.1558,62484.73,0.1215,0.1568,1164.55
2026-01-01,S019,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Qingdao,At Risk,57,236,67546.56,326783.91,67546.56,67546.56,64254.49,50596.16,30857.79,19738.37,0.3901,23112.89,33587.94,4795.42,9192.64,13445.46,10051.96,12623.42,3116.03,109925.75,70688.88,-50950.51,-1.007,-74447.93,-90187.38,-90187.38,-1.7825,181199.66,0.4568,0.6638,887.65
2026-01-01,S020,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Shanghai,High Profit,107,339,96326.1,486030.94,96326.1,96326.1,92423.95,70246.12,40624.8,29621.32,0.4217,6040.3,10161.49,1613.35,1751.61,3450.96,3483.37,4220.34,879.26,31600.67,19566.75,10054.57,0.1431,3120.24,-1979.35,-1979.35,-0.0282,46401.99,0.086,0.1447,656.51
2026-01-01,S021,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,Central China,Changsha,High Profit,35,292,68942.31,423774.72,68942.31,68942.31,65796.45,51620.54,37447.86,14172.68,0.2746,12377.63,14697.98,4038.12,4551.46,5471.16,5572.04,6080.38,1537.74,54326.51,35665.19,-21492.51,-0.4164,-32535.71,-40153.83,-40153.83,-0.7779,129901.76,0.2398,0.2847,1474.87
2026-01-01,S022,Himaxx Warehouse Outlet,Mall Warehouse,South China,Xiamen,At Risk,70,218,56742.76,288257.96,56742.76,56742.76,54093.19,39351.15,23018.91,16332.24,0.415,23656.83,29571.05,4662.74,8693.13,10607.03,6770.16,13151.18,3921.04,101033.17,66583.75,-50251.51,-1.277,-67628.7,-84700.93,-84700.93,-2.1524,160427.91,0.6012,0.7515,562.16
2026-01-01,S023,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,Stable,59,297,91999.3,448052.68,91999.3,91999.3,87154.16,68859.28,40813.32,28045.96,0.4073,17900.42,28944.44,4863.64,4959.54,8644.58,9042.26,11370.99,2350.97,88076.83,56668.04,-28622.08,-0.4157,-46308.91,-60030.87,-60030.87,-0.8718,139133.06,0.26,0.4203,1167.11
2026-01-01,S024,Himaxx Warehouse Outlet,Mall Warehouse,West China,Chongqing,Loss Making,54,158,46449.05,232741.12,46449.05,46449.05,45164.49,36106.36,21414.08,14692.28,0.4069,19748.05,22787.17,5459.76,4348.59,8893.95,7317.09,8125.4,2162.54,78842.55,52343.58,-37651.3,-1.0428,-53862.34,-64150.27,-64150.27,-1.7767,128634.63,0.5469,0.6311,668.64
2026-01-01,S025,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Hangzhou,Stable,74,286,86774.48,417063.52,86774.48,86774.48,83680.06,63982.52,39086.58,24895.94,0.3891,13241.12,17073.48,4505.43,5136.0,7453.52,4870.98,6408.74,1792.32,60481.57,39956.02,-15060.08,-0.2354,-27384.57,-35585.63,-35585.63,-0.5562,102686.9,0.2069,0.2668,864.63
2026-01-01,S026,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Beijing,High Profit,51,380,109549.53,519726.53,109549.53,109549.53,104743.98,81482.72,47465.32,34017.4,0.4175,8468.5,14819.06,2361.54,2594.44,3909.93,3773.56,5675.41,1140.06,42742.5,28243.54,5773.86,0.0709,-1909.63,-8725.1,-8725.1,-0.1071,67652.45,0.1039,0.1819,1597.7
2026-01-01,S027,Himaxx Warehouse Outlet,Shopping Center Warehouse,West China,Chengdu,Loss Making,38,129,35242.57,169346.52,35242.57,35242.57,33891.82,24284.82,14222.05,10062.77,0.4144,18137.23,27115.97,4082.35,3562.21,7223.92,5787.57,10447.39,2135.78,78492.43,52897.77,-42835.0,-1.7639,-55846.49,-68429.66,-68429.66,-2.8178,127659.95,0.7469,1.1166,639.07
2026-01-01,S028,Himaxx Warehouse Outlet,Warehouse Outlet,West China,Chongqing,At Risk,51,204,53568.4,276997.18,53568.4,53568.4,51612.4,37519.55,24871.69,12647.86,0.3371,16031.87,31545.18,4155.87,6807.73,8538.77,8687.82,10421.44,2407.16,88595.84,58540.65,-45892.79,-1.2232,-63119.37,-75947.98,-75947.98,-2.0242,173659.32,0.4273,0.8408,735.68
2026-01-01,S029,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Suzhou,Stable,51,271,70527.31,358051.12,70527.31,70527.31,67116.22,50220.61,29569.3,20651.31,0.4112,16475.23,24940.85,5390.19,5088.23,9698.32,4884.62,7051.63,6986.34,80515.42,51894.5,-31243.19,-0.6221,-45826.13,-59864.11,-59864.11,-1.192,126198.94,0.3281,0.4966,984.72
2026-01-01,S030,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,At Risk,55,215,61837.13,317823.85,61837.13,61837.13,59487.53,46470.17,29231.38,17238.79,0.371,15818.15,25186.17,4749.22,6103.95,9243.71,7415.9,8753.56,2096.68,79367.34,51857.5,-34618.71,-0.745,-51278.32,-62128.55,-62128.55,-1.337,139790.95,0.3404,0.542,844.91
2026-01-01,S031,Himaxx Warehouse Outlet,Warehouse Outlet,West China,Xi'an,At Risk,73,203,50688.19,258886.3,50688.19,50688.19,49162.11,37108.06,23202.4,13905.66,0.3747,14786.51,18253.42,3784.39,4149.52,5212.72,6273.22,6077.55,1643.94,60181.27,40973.84,-27068.18,-0.7294,-38554.12,-46275.61,-46275.61,-1.2471,109341.07,0.3985,0.4919,508.33
2026-01-01,S032,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Wuhan,Stable,46,281,81911.31,403928.17,81911.31,81911.31,79693.42,57925.26,34495.5,23429.76,0.4045,14682.9,22907.24,3198.93,3229.92,5055.58,5399.98,5725.13,1814.73,62014.4,44018.98,-20589.22,-0.3554,-31044.78,-38584.64,-38584.64,-0.6661,108827.87,0.2535,0.3955,1259.24
2026-01-01,S033,Himaxx Warehouse Outlet,Mall Warehouse,West China,Chongqing,At Risk,77,224,61425.59,305386.89,61425.59,61425.59,58034.44,42769.1,24860.38,17908.72,0.4187,15498.82,24728.04,3248.19,5678.03,5349.55,5053.31,6177.47,1861.55,67594.96,49153.07,-31244.35,-0.7305,-41647.21,-49686.24,-49686.24,-1.1617,117385.98,0.3624,0.5782,555.44
2026-01-01,S034,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,High Profit,99,385,108997.11,543599.29,108997.11,108997.11,104752.36,76735.8,45499.13,31236.67,0.4071,9234.22,15078.5,2421.19,3755.18,5019.45,3211.85,5027.77,1296.75,45044.92,30489.1,747.57,0.0097,-7483.73,-13808.25,-13808.25,-0.1799,74899.32,0.1203,0.1965,775.11
2026-01-01,S035,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,West China,Chongqing,At Risk,22,240,55360.93,331241.22,55360.93,55360.93,53861.83,38981.27,28069.29,10911.98,0.2799,15656.32,24861.89,3551.67,4882.24,9201.98,4873.54,9574.01,1982.45,74584.1,48952.13,-38040.15,-0.9759,-52115.67,-63672.12,-63672.12,-1.6334,174873.5,0.4016,0.6378,1771.88
2026-01-01,S036,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Nanjing,Stable,68,267,74900.04,387215.97,74900.04,74900.04,71332.64,54692.21,33509.4,21182.81,0.3873,6628.74,13029.85,2624.12,2035.96,3056.75,2931.95,3527.16,1040.43,34874.95,24318.67,-3135.86,-0.0573,-9124.55,-13692.14,-13692.14,-0.2503,62788.73,0.1212,0.2382,804.3
2026-01-01,S037,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,At Risk,58,201,56649.03,284668.81,56649.03,56649.03,54349.86,41477.49,24880.96,16596.53,0.4001,9282.87,18531.0,2274.05,3749.29,4101.8,3718.81,6404.13,1402.51,49464.46,33837.21,-17240.68,-0.4157,-25061.3,-32867.93,-32867.93,-0.7924,84564.83,0.2238,0.4468,715.13
2026-01-01,S038,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Qingdao,High Profit,72,334,97108.72,494827.22,97108.72,97108.72,93372.18,67946.56,41802.01,26144.55,0.3848,14235.72,20947.84,5198.57,3804.66,8397.24,5446.54,6395.6,2490.36,66916.54,44186.79,-18042.24,-0.2655,-31886.03,-40771.99,-40771.99,-0.6001,114836.2,0.2095,0.3083,943.7
2026-01-01,S039,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,South China,Shenzhen,Stable,31,316,72433.56,439966.4,72433.56,72433.56,68233.38,53542.45,39513.33,14029.12,0.262,16351.39,24472.6,2743.03,4882.31,5996.36,4316.79,8029.99,1848.27,68640.74,48449.33,-34420.21,-0.6429,-44733.36,-54611.62,-54611.62,-1.02,184907.95,0.3054,0.4571,1727.18
2026-01-01,S040,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Xiamen,High Profit,95,413,111429.51,572482.44,111429.51,111429.51,107427.96,78169.44,47598.07,30571.37,0.3911,6733.13,7973.01,1334.17,1837.31,3578.63,1859.45,2433.43,787.32,26536.44,17877.62,12693.75,0.1624,7255.67,4034.93,4034.93,0.0516,45712.16,0.0861,0.102,822.84
2026-01-01,S041,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Shanghai,Loss Making,42,144,35869.88,178487.36,35869.88,35869.88,34312.9,27899.49,17628.43,10271.06,0.3681,15317.01,24803.13,5377.76,4334.77,7800.37,4774.16,8740.3,2182.04,73329.55,49832.67,-39561.61,-1.418,-52136.14,-63058.49,-63058.49,-2.2602,135361.51,0.549,0.889,664.27
2026-01-01,S042,Himaxx Warehouse Outlet,Community Warehouse,East China,Shanghai,High Profit,51,353,92709.76,474263.57,92709.76,92709.76,87609.14,65772.63,41329.85,24442.78,0.3716,9152.27,13291.79,1680.08,3172.71,4251.16,3348.29,3938.26,1014.04,39848.6,27296.84,-2854.06,-0.0434,-10453.51,-15405.82,-15405.82,-0.2342,73452.57,0.1392,0.2021,1289.66
2026-01-01,S043,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Hangzhou,Stable,51,329,96587.19,471767.15,96587.19,96587.19,92340.28,71654.87,42004.66,29650.21,0.4138,15229.73,22140.0,3487.94,5146.55,7867.35,7524.76,8757.91,2141.81,72296.05,46004.22,-16354.01,-0.2282,-31746.12,-42645.84,-42645.84,-0.5952,111177.18,0.2125,0.309,1405.0
2026-01-01,S044,Himaxx Warehouse Outlet,Community Warehouse,Central China,Changsha,High Profit,58,326,91759.96,461960.26,91759.96,91759.96,88168.37,66689.26,40982.46,25706.8,0.3855,10945.72,19137.98,2301.87,2552.38,5383.9,5614.25,5756.14,1488.2,53180.44,34937.94,-9231.14,-0.1384,-20229.3,-27473.64,-27473.64,-0.412,90636.94,0.1641,0.287,1149.81
2026-01-01,S045,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,Stable,56,317,86187.2,438575.33,86187.2,86187.2,82285.36,62563.76,38068.02,24495.74,0.3915,18343.14,21634.48,4583.57,5676.19,9200.19,4490.15,9989.36,2102.29,76019.38,50237.39,-25741.65,-0.4114,-39431.99,-51523.64,-51523.64,-0.8235,128309.66,0.2932,0.3458,1117.21
2026-01-01,S046,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Shanghai,High Profit,36,334,98139.67,468951.14,98139.67,98139.67,95903.32,77375.2,47047.38,30327.82,0.392,16104.98,17743.63,2840.65,5725.37,7126.75,5493.42,4688.1,1755.33,61478.22,42414.63,-12086.81,-0.1562,-24706.98,-31150.4,-31150.4,-0.4026,108212.22,0.2081,0.2293,2149.31
2026-01-01,S047,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Xiamen,Stable,67,295,75737.08,385509.17,75737.08,75737.08,71847.15,51994.67,31573.71,20420.96,0.3928,17155.68,25681.89,4975.84,4762.62,7364.51,7809.82,6940.96,1996.1,76687.42,52576.02,-32155.06,-0.6184,-47329.4,-56266.46,-56266.46,-1.0822,133866.04,0.33,0.4939,776.04
2026-01-01,S048,Himaxx Warehouse Outlet,Mall Warehouse,West China,Chongqing,Stable,45,256,68053.38,344035.12,68053.38,68053.38,65267.98,48771.74,29483.43,19288.31,0.3955,11231.36,22689.42,2612.17,3954.24,7578.93,5659.67,5590.95,1711.71,61028.45,40487.19,-21198.88,-0.4347,-34437.48,-41740.14,-41740.14,-0.8558,102374.49,0.2303,0.4652,1083.82
2026-01-01,S049,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,High Profit,62,368,103462.81,523920.51,103462.81,103462.81,100559.68,74028.39,44798.94,29229.45,0.3948,6434.74,12339.97,1635.47,1922.33,3062.64,3813.91,3910.66,2355.67,35475.39,22332.52,6896.93,0.0932,20.39,-6245.94,-6245.94,-0.0844,56560.77,0.0869,0.1667,1194.01
2026-01-01,S050,Himaxx Warehouse Outlet,Community Warehouse,East China,Suzhou,At Risk,34,184,48938.91,242501.64,48938.91,48938.91,47757.84,36651.93,22401.29,14250.64,0.3888,20041.45,21600.16,4754.22,5454.69,9230.96,6786.69,6163.96,2223.69,76255.81,51850.51,-37599.87,-1.0259,-53617.52,-62005.17,-62005.17,-1.6917,133356.92,0.5468,0.5893,1078.0
2026-01-01,S051,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Qingdao,Stable,72,274,80887.16,381871.33,80887.16,80887.16,77258.89,57304.91,33049.15,24255.76,0.4233,16363.05,23343.88,4768.85,6468.75,7831.48,7278.32,10306.35,2277.86,78638.56,50944.53,-26688.77,-0.4657,-41798.58,-54382.8,-54382.8,-0.949,120357.87,0.2855,0.4074,795.9
2026-01-01,S052,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Shanghai,Stable,36,220,63934.73,303382.1,63934.73,63934.73,61690.87,42040.07,22807.54,19232.53,0.4575,17993.61,23305.95,5158.3,5762.73,7450.72,7703.57,5913.1,2031.46,75319.42,52220.58,-32988.05,-0.7847,-48142.34,-56086.89,-56086.89,-1.3341,114148.11,0.428,0.5544,1167.78
2026-01-01,S053,Himaxx Warehouse Outlet,Warehouse Outlet,West China,Chongqing,High Profit,104,371,99188.26,490435.51,99188.26,99188.26,94331.56,73877.42,44609.24,29268.18,0.3962,10923.41,14952.51,2553.4,2259.38,4304.3,3580.25,3730.19,1189.35,43492.79,30688.7,-1420.52,-0.0192,-9305.07,-14224.61,-14224.61,-0.1925,77463.02,0.1479,0.2024,710.36
2026-01-01,S054,Himaxx Warehouse Outlet,Community Warehouse,North China,Tianjin,High Profit,52,346,97242.36,464907.31,97242.36,97242.36,95226.87,72007.92,41773.54,30234.38,0.4199,12885.05,18948.27,2301.3,2936.78,4684.48,4875.86,6353.55,1537.15,54522.43,37071.4,-6837.02,-0.0949,-16397.36,-24288.05,-24288.05,-0.3373,88291.36,0.1789,0.2631,1384.77
2026-01-01,S055,Himaxx Warehouse Outlet,Mall Warehouse,South China,Xiamen,High Profit,79,360,96612.39,493333.97,96612.39,96612.39,93600.31,66440.57,40098.87,26341.7,0.3965,9040.36,12665.71,2599.9,2758.71,4373.5,3303.35,5240.58,1143.6,41125.72,27064.68,-722.98,-0.0109,-8399.84,-14784.02,-14784.02,-0.2225,68264.11,0.1361,0.1906,841.02
2026-01-01,S056,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Nanjing,High Profit,88,344,103446.6,522463.0,103446.6,103446.6,97893.23,74965.38,45338.87,29626.51,0.3952,8713.47,11156.45,1919.22,2043.18,3718.93,3542.21,2604.11,947.53,34645.1,23832.32,5794.19,0.0773,-1466.95,-5018.59,-5018.59,-0.0669,60304.06,0.1162,0.1488,851.88
2026-01-01,S057,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Shanghai,Stable,73,268,76799.4,383984.5,76799.4,76799.4,73591.78,55233.33,34592.2,20641.13,0.3737,8322.76,16798.76,2782.9,2736.04,5315.69,5140.47,3910.8,1350.0,46357.4,30640.45,-9999.32,-0.181,-20455.48,-25716.27,-25716.27,-0.4656,81990.38,0.1507,0.3041,756.62
2026-01-01,S058,Himaxx Warehouse Outlet,Shopping Center Warehouse,South China,Xiamen,At Risk,60,198,62449.05,302390.8,62449.05,62449.05,59951.4,47101.16,30507.34,16593.82,0.3523,24371.75,30641.69,5287.7,6433.08,11050.1,7133.14,9232.68,2647.05,96797.19,66734.22,-50140.4,-1.0645,-68323.64,-80203.37,-80203.37,-1.7028,189423.48,0.5174,0.6506,785.02
2026-01-01,S059,Himaxx Warehouse Outlet,Mall Warehouse,East China,Suzhou,Loss Making,47,141,41017.82,206142.11,41017.82,41017.82,38781.55,32253.54,19672.27,12581.27,0.3901,18962.11,25201.64,4362.0,4193.28,9404.95,7303.35,7301.87,3276.64,80005.85,52719.03,-40137.76,-1.2444,-56846.06,-67424.58,-67424.58,-2.0905,135151.33,0.5879,0.7814,686.25
2026-01-01,S060,Himaxx Warehouse Outlet,Mall Warehouse,West China,Xi'an,High Profit,77,328,91038.08,451132.85,91038.08,91038.08,86587.94,63889.6,37523.66,26365.94,0.4127,14702.97,16709.5,3177.28,4102.91,7956.24,5921.59,8230.05,1753.16,62553.69,38692.65,-12326.71,-0.1929,-26204.54,-36187.75,-36187.75,-0.5664,93759.53,0.2301,0.2615,829.74
2026-01-01,S061,Himaxx Warehouse Outlet,Community Warehouse,South China,Xiamen,Loss Making,46,149,46202.86,226061.62,46202.86,46202.86,42955.5,33613.75,21307.77,12305.98,0.3661,11183.52,19757.1,3044.24,3458.31,7279.96,4899.57,8404.25,1730.72,59757.68,37443.18,-25137.2,-0.7478,-37316.73,-47451.7,-47451.7,-1.4117,102275.93,0.3327,0.5878,730.73
2026-01-01,S062,Himaxx Warehouse Outlet,Community Warehouse,West China,Xi'an,Stable,48,302,87276.23,436087.25,87276.23,87276.23,83901.24,58193.22,33283.16,24910.06,0.4281,16746.22,24532.68,4430.52,6198.33,5395.53,4685.15,5867.86,1939.55,69795.84,51907.75,-26997.69,-0.4639,-37078.36,-44885.78,-44885.78,-0.7713,121263.42,0.2878,0.4216,1212.36
2026-01-01,S063,Himaxx Warehouse Outlet,Mall Warehouse,East China,Nanjing,Loss Making,54,138,38579.23,193223.12,38579.23,38579.23,36114.51,29280.16,18085.71,11194.45,0.3823,16927.0,23790.85,3919.1,3469.91,8485.52,7163.34,7569.23,2062.95,73387.9,48106.85,-36912.4,-1.2607,-52561.26,-62193.45,-62193.45,-2.1241,125828.08,0.5781,0.8125,542.23
2026-01-01,S064,Himaxx Warehouse Outlet,Shopping Center Warehouse,South China,Guangzhou,High Profit,58,327,99304.65,482397.9,99304.65,99304.65,96530.18,75781.92,45780.65,30001.27,0.3959,12179.56,17791.92,2066.04,3112.94,5726.23,4028.45,5820.47,1506.23,52231.84,35150.46,-5149.19,-0.0679,-14903.87,-22230.57,-22230.57,-0.2933,88788.56,0.1607,0.2348,1306.58
2026-01-01,S065,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,Stable,53,252,74006.55,366843.17,74006.55,74006.55,70019.72,53376.43,32574.0,20802.43,0.3897,15221.46,18001.73,4412.14,3949.13,5001.91,5643.53,6279.62,2862.2,61371.73,41584.46,-20782.03,-0.3893,-31427.48,-40569.3,-40569.3,-0.7601,106700.53,0.2852,0.3373,1007.1
2026-01-01,S066,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,At Risk,45,183,46346.62,221660.12,46346.62,46346.62,44452.64,33013.02,18856.43,14156.59,0.4288,20669.79,28543.9,3077.35,5209.0,7175.09,5256.57,7067.41,2240.13,79239.24,57500.04,-43343.45,-1.3129,-55775.12,-65082.65,-65082.65,-1.9714,134089.5,0.6261,0.8646,733.62
