month,sku,brand_owner,brand,category,business_mode,standard_cost,inbound_freight_rate,packaging_cost_per_unit,handling_cost_per_unit,product_development_cost_per_unit,royalty_rate,royalty_cost_per_unit,landed_cost_per_unit,unit_economic_cost
2026-01-01,SKU00059,External Brand,Columbia,Outdoor Apparel,Buyout,108.78,0.0345,3.83,0.68,3.51,0.0,0.0,120.57,120.57
2026-01-01,SKU00060,Himaxx Own,Brand A,Outdoor Apparel,Own Brand,74.61,0.0501,3.58,3.2,13.05,0.0,0.0,98.17,98.17
2026-01-01,SKU00061,External Brand,Brooks Brothers,Kids Apparel,Consignment,23.92,0.073,4.08,0.54,1.07,0.0626,35.27,31.35,66.62
2026-01-01,SKU00062,External Brand,Salomon,Training Shoes,Consignment,36.34,0.0337,0.64,2.51,1.13,0.0,0.0,41.83,41.83
2026-01-01,SKU00063,External Brand,Puma,Kids Apparel,Buyout,33.42,0.0695,0.63,1.4,1.73,0.0,0.0,39.5,39.5
2026-01-01,SKU00064,External Brand,Reebok Underwear,Training Shoes,Buyout,170.14,0.0433,2.36,2.72,1.02,0.0639,93.59,183.61,277.2
2026-01-01,SKU00065,External Brand,Asics,Sportswear,Buyout,50.09,0.0388,1.22,1.28,3.69,0.0,0.0,58.23,58.23
2026-01-01,SKU00066,External Brand,Hoka,Yoga Apparel,Buyout,92.96,0.049,2.51,0.91,2.3,0.0,0.0,103.24,103.24
2026-01-01,SKU00067,External Brand,Cole Haan,Performance Apparel,Buyout,263.02,0.0709,3.65,3.38,3.94,0.0,0.0,292.64,292.64
2026-01-01,SKU00068,Himaxx Own,Brand B,Yoga Apparel,Own Brand,93.98,0.0741,3.41,2.42,6.34,0.0,0.0,113.11,113.11
2026-01-01,SKU00069,External Brand,Under Armour,Bags,Consignment,8.89,0.0575,2.21,2.62,2.51,0.0,0.0,16.74,16.74
2026-01-01,SKU00070,External Brand,Columbia,Bags,Consignment,55.54,0.0742,2.82,3.37,1.89,0.0,0.0,67.74,67.74
2026-01-01,SKU00071,External Brand,Cole Haan,Kids Apparel,Buyout,67.2,0.0336,3.84,0.66,2.72,0.0,0.0,76.68,76.68
2026-01-01,SKU00072,Himaxx Own,Brand B,Training Shoes,Own Brand,119.58,0.08,4.42,3.37,11.19,0.0,0.0,148.12,148.12
2026-01-01,SKU00073,External Brand,The North Face,Basketball Shoes,Consignment,32.59,0.0713,2.77,1.89,2.48,0.0,0.0,42.05,42.05
2026-01-01,SKU00074,External Brand,Champion,Outdoor Apparel,Buyout,159.47,0.0646,3.42,1.41,3.54,0.0,0.0,178.14,178.14
2026-01-01,SKU00075,External Brand,Skechers,Training Shoes,Consignment,26.9,0.0258,3.85,3.43,2.23,0.0,0.0,37.11,37.11
2026-01-01,SKU00076,External Brand,Asics,Yoga Apparel,Buyout,99.19,0.0411,0.86,3.41,0.03,0.0,0.0,107.57,107.57
2026-01-01,SKU00077,External Brand,Lululemon,Kids Apparel,Buyout,215.24,0.0603,4.96,0.92,1.52,0.0,0.0,235.61,235.61
2026-01-01,SKU00078,External Brand,Champion,Accessories,Buyout,101.76,0.0359,3.72,2.21,2.44,0.0,0.0,113.79,113.79
2026-01-01,SKU00079,External Brand,Cole Haan,Performance Apparel,Buyout,162.99,0.0411,4.57,1.75,0.93,0.0,0.0,176.94,176.94
2026-01-01,SKU00080,External Brand,Nike,Sportswear,Consignment,51.92,0.0572,4.93,1.52,2.54,0.0,0.0,63.88,63.88
2026-01-01,SKU00081,External Brand,Reebok Underwear,Training Shoes,Consignment,30.5,0.0419,4.18,3.09,2.28,0.0351,38.25,41.33,79.58
2026-01-01,SKU00082,Himaxx Own,Brand B,Basketball Shoes,Own Brand,192.17,0.0681,2.35,0.42,4.14,0.0,0.0,212.16,212.16
2026-01-01,SKU00083,External Brand,Adidas,Underwear,Consignment,25.53,0.0637,0.56,1.53,1.12,0.0,0.0,30.37,30.37
2026-01-01,SKU00084,External Brand,Cole Haan,Kids Apparel,Buyout,33.26,0.0422,4.26,1.33,0.95,0.0,0.0,41.2,41.2
2026-01-01,SKU00085,External Brand,Brooks Brothers,Accessories,Buyout,59.63,0.0654,0.6,1.72,3.29,0.0695,30.62,69.14,99.76
2026-01-01,SKU00086,External Brand,Brooks Brothers,Accessories,Buyout,35.21,0.0546,4.89,2.66,3.31,0.0489,16.85,47.99,64.84
2026-01-01,SKU00087,External Brand,The North Face,Underwear,Consignment,20.43,0.0365,4.31,1.16,2.68,0.0,0.0,29.32,29.32
2026-01-01,SKU00088,External Brand,The North Face,Performance Apparel,Buyout,59.15,0.0589,1.38,3.46,0.86,0.0,0.0,68.33,68.33
2026-01-01,SKU00089,External Brand,Puma,Training Shoes,Buyout,174.95,0.0524,1.71,1.8,1.13,0.0,0.0,188.77,188.77
2026-01-01,SKU00090,External Brand,Cole Haan,Sportswear,Buyout,34.23,0.0456,2.24,1.73,1.6,0.0,0.0,41.36,41.36
2026-01-01,SKU00091,Himaxx Own,Brand B,Outdoor Apparel,Own Brand,184.95,0.0751,3.77,3.19,14.34,0.0,0.0,220.12,220.12
2026-01-01,SKU00092,External Brand,Skechers,Accessories,Buyout,48.61,0.0249,3.97,2.22,1.82,0.0,0.0,57.82,57.82
2026-01-01,SKU00093,External Brand,Columbia,Running Shoes,Consignment,25.35,0.0413,3.32,1.27,1.42,0.0,0.0,32.4,32.4
2026-01-01,SKU00094,External Brand,Cole Haan,Training Shoes,Buyout,55.17,0.0572,2.74,2.1,1.4,0.0,0.0,64.57,64.57
2026-01-01,SKU00095,External Brand,Puma,Lifestyle Apparel,Consignment,47.02,0.079,4.34,2.9,0.37,0.0,0.0,58.34,58.34
2026-01-01,SKU00096,External Brand,Reebok Underwear,Sportswear,Buyout,139.14,0.0576,3.46,1.07,1.95,0.0797,70.33,153.65,223.97
2026-01-01,SKU00097,External Brand,Nike,Lifestyle Apparel,Consignment,26.36,0.0555,1.58,0.48,2.12,0.0,0.0,32.0,32.0
2026-01-01,SKU00098,External Brand,Reebok Underwear,Bags,Consignment,20.45,0.0764,4.26,2.68,1.09,0.0781,121.67,30.04,151.72
2026-01-01,SKU00099,External Brand,Adidas,Bags,Buyout,95.7,0.0504,2.32,2.45,1.14,0.0,0.0,106.44,106.44
2026-01-01,SKU00100,Himaxx Own,Brand B,Underwear,Own Brand,33.17,0.0557,2.06,1.67,8.17,0.0,0.0,46.92,46.92
2026-01-01,SKU00101,Himaxx Own,Brand B,Underwear,Own Brand,21.4,0.0438,3.82,2.89,6.46,0.0,0.0,35.51,35.51
2026-01-01,SKU00102,External Brand,Lululemon,Outdoor Apparel,Consignment,32.27,0.08,0.97,2.38,1.83,0.0,0.0,40.02,40.02
2026-01-01,SKU00103,External Brand,Puma,Basketball Shoes,Buyout,89.65,0.0464,2.44,2.14,2.78,0.0,0.0,101.16,101.16
2026-01-01,SKU00104,External Brand,The North Face,Outdoor Apparel,Consignment,35.59,0.0474,3.82,0.4,1.34,0.0,0.0,42.84,42.84
2026-01-01,SKU00105,External Brand,Nike,Performance Apparel,Buyout,124.42,0.0301,1.41,3.49,2.25,0.0,0.0,135.31,135.31
2026-01-01,SKU00106,External Brand,Skechers,Training Shoes,Buyout,78.14,0.0548,1.96,3.13,0.65,0.0,0.0,88.16,88.16
2026-01-01,SKU00107,External Brand,New Balance,Kids Apparel,Buyout,59.48,0.0595,3.74,2.77,0.89,0.0,0.0,70.42,70.42
2026-01-01,SKU00108,Himaxx Own,Brand A,Lifestyle Apparel,Own Brand,91.78,0.0745,2.19,2.39,6.01,0.0,0.0,109.2,109.2
2026-01-01,SKU00109,External Brand,Brooks Brothers,Sportswear,Buyout,68.03,0.0503,1.31,2.0,3.21,0.0738,39.65,77.97,117.62
2026-01-01,SKU00110,External Brand,Nike,Underwear,Consignment,3.69,0.0367,3.17,0.52,1.58,0.0,0.0,9.09,9.09
2026-01-01,SKU00111,External Brand,Puma,Training Shoes,Buyout,51.31,0.0657,3.58,2.52,3.32,0.0,0.0,64.1,64.1
2026-01-01,SKU00112,External Brand,Nike,Sportswear,Consignment,13.48,0.0765,2.03,3.32,2.49,0.0,0.0,22.35,22.35
2026-01-01,SKU00113,External Brand,Patagonia,Kids Apparel,Buyout,170.1,0.0434,1.18,2.78,3.75,0.0,0.0,185.19,185.19
2026-01-01,SKU00114,External Brand,Adidas,Performance Apparel,Buyout,40.5,0.0443,2.98,0.62,1.07,0.0,0.0,46.96,46.96
2026-01-01,SKU00115,External Brand,Champion,Lifestyle Apparel,Buyout,53.82,0.0621,2.12,1.3,3.2,0.0,0.0,63.79,63.79
2026-01-01,SKU00116,External Brand,Columbia,Yoga Apparel,Buyout,41.88,0.0524,3.62,1.42,1.56,0.0,0.0,50.68,50.68
2026-01-01,SKU00117,External Brand,Cole Haan,Training Shoes,Buyout,63.59,0.0777,1.7,2.5,1.81,0.0,0.0,74.55,74.55
2026-01-01,SKU00118,External Brand,Hoka,Basketball Shoes,Consignment,38.89,0.0324,1.3,1.57,1.59,0.0,0.0,44.61,44.61
2026-01-01,SKU00119,External Brand,Columbia,Yoga Apparel,Buyout,217.22,0.0382,2.74,3.13,1.22,0.0,0.0,232.62,232.62
2026-01-01,SKU00120,External Brand,Skechers,Outdoor Apparel,Buyout,192.14,0.0596,3.45,2.83,0.88,0.0,0.0,210.75,210.75
2026-01-01,SKU00121,External Brand,Brooks Brothers,Yoga Apparel,Consignment,15.53,0.0729,4.78,2.57,2.97,0.0466,46.85,26.99,73.84
2026-01-01,SKU00122,External Brand,Champion,Basketball Shoes,Buyout,139.05,0.0563,4.88,2.75,3.12,0.0,0.0,157.63,157.63
2026-01-01,SKU00123,Himaxx Own,Brand A,Lifestyle Apparel,Own Brand,36.34,0.0711,2.42,1.53,8.89,0.0,0.0,51.77,51.77
2026-01-01,SKU00124,External Brand,Patagonia,Running Shoes,Consignment,48.89,0.0208,1.19,3.25,3.98,0.0,0.0,58.34,58.34
2026-01-01,SKU00125,External Brand,Columbia,Running Shoes,Buyout,117.41,0.0755,2.69,1.96,3.01,0.0,0.0,133.94,133.94
2026-01-01,SKU00126,External Brand,Hoka,Basketball Shoes,Consignment,5.28,0.039,4.27,3.22,2.52,0.0,0.0,15.49,15.49
2026-01-01,SKU00127,External Brand,Skechers,Kids Apparel,Buyout,115.67,0.0333,4.45,3.15,0.55,0.0,0.0,127.67,127.67
2026-01-01,SKU00128,External Brand,Reebok Underwear,Kids Apparel,Consignment,4.37,0.0691,0.55,3.22,0.72,0.0597,9.97,9.16,19.13
2026-01-01,SKU00129,External Brand,Hoka,Training Shoes,Buyout,86.28,0.0293,0.76,1.33,1.26,0.0,0.0,92.16,92.16
2026-01-01,SKU00130,External Brand,Reebok Underwear,Performance Apparel,Consignment,18.75,0.0421,0.81,2.12,3.07,0.0316,13.63,25.54,39.17
2026-01-01,SKU00131,External Brand,Cole Haan,Lifestyle Apparel,Buyout,160.48,0.0563,1.9,2.6,1.17,0.0,0.0,175.19,175.19
2026-01-01,SKU00132,External Brand,Columbia,Running Shoes,Buyout,110.54,0.0693,4.14,1.97,1.33,0.0,0.0,125.64,125.64
2026-01-01,SKU00133,External Brand,Brooks Brothers,Performance Apparel,Buyout,50.85,0.0685,4.82,2.95,0.46,0.042,25.18,62.56,87.74
2026-01-01,SKU00134,External Brand,Reebok Underwear,Lifestyle Apparel,Buyout,60.41,0.0276,4.64,1.61,0.43,0.042,34.67,68.74,103.41
2026-01-01,SKU00135,Himaxx Own,Brand A,Sportswear,Own Brand,56.76,0.0746,3.15,1.41,10.77,0.0,0.0,76.31,76.31
2026-01-01,SKU00136,External Brand,Patagonia,Sportswear,Buyout,129.22,0.0797,1.79,1.12,2.66,0.0,0.0,145.09,145.09
2026-01-01,SKU00137,External Brand,Nike,Running Shoes,Buyout,210.07,0.023,4.36,1.29,2.48,0.0,0.0,223.03,223.03
2026-01-01,SKU00138,External Brand,Columbia,Bags,Consignment,13.37,0.0719,4.81,0.65,2.11,0.0,0.0,21.9,21.9
2026-01-01,SKU00139,External Brand,Reebok Underwear,Basketball Shoes,Consignment,41.48,0.0601,1.11,2.54,0.84,0.0574,69.47,48.47,117.95
2026-01-01,SKU00140,External Brand,Under Armour,Running Shoes,Consignment,27.56,0.0603,0.64,1.25,2.61,0.0,0.0,33.73,33.73
2026-01-01,SKU00141,External Brand,Under Armour,Training Shoes,Consignment,15.02,0.0775,1.57,2.76,2.46,0.0,0.0,22.98,22.98
2026-01-01,SKU00142,Himaxx Own,Brand B,Basketball Shoes,Own Brand,95.86,0.028,4.77,3.07,14.12,0.0,0.0,120.51,120.51
2026-01-01,SKU00143,External Brand,Brooks Brothers,Kids Apparel,Consignment,21.58,0.0714,3.78,0.91,1.88,0.0645,29.23,29.7,58.93
2026-01-01,SKU00144,External Brand,New Balance,Outdoor Apparel,Buyout,76.38,0.0445,0.7,2.59,1.82,0.0,0.0,84.88,84.88
2026-01-01,SKU00145,Himaxx Own,Brand A,Running Shoes,Own Brand,257.58,0.0662,3.18,3.13,6.29,0.0,0.0,287.22,287.22
2026-01-01,SKU00146,External Brand,Fila,Outdoor Apparel,Buyout,149.69,0.0547,1.32,0.9,0.44,0.0,0.0,160.53,160.53
2026-01-01,SKU00147,External Brand,Asics,Underwear,Buyout,36.72,0.0281,0.7,2.27,1.08,0.0,0.0,41.8,41.8
2026-01-01,SKU00148,External Brand,Brooks Brothers,Training Shoes,Buyout,99.62,0.0297,3.06,3.22,1.81,0.076,90.0,110.66,200.65
2026-01-01,SKU00149,External Brand,Cole Haan,Sportswear,Buyout,57.6,0.0743,3.99,1.33,0.4,0.0,0.0,67.61,67.61
2026-01-01,SKU00150,External Brand,Columbia,Lifestyle Apparel,Buyout,102.96,0.0242,3.56,0.79,3.8,0.0,0.0,113.61,113.61
2026-01-01,SKU00151,External Brand,Champion,Performance Apparel,Consignment,31.7,0.0584,0.51,1.76,3.26,0.0,0.0,39.09,39.09
2026-01-01,SKU00152,Himaxx Own,Brand A,Performance Apparel,Own Brand,170.27,0.0368,1.11,1.41,3.95,0.0,0.0,183.01,183.01
2026-01-01,SKU00153,Himaxx Own,Brand B,Sportswear,Own Brand,183.74,0.0672,4.56,3.17,12.63,0.0,0.0,216.44,216.44
2026-01-01,SKU00154,Himaxx Own,Brand A,Underwear,Own Brand,64.1,0.0639,1.68,2.94,13.01,0.0,0.0,85.82,85.82
2026-01-01,SKU00155,Himaxx Own,Brand A,Outdoor Apparel,Own Brand,403.89,0.033,3.97,2.96,3.82,0.0,0.0,427.97,427.97
2026-01-01,SKU00156,External Brand,The North Face,Lifestyle Apparel,Buyout,81.1,0.0738,0.6,3.33,1.23,0.0,0.0,92.25,92.25
2026-01-01,SKU00157,Himaxx Own,Brand A,Accessories,Own Brand,77.11,0.039,1.18,3.14,12.1,0.0,0.0,96.53,96.53
2026-01-01,SKU00158,External Brand,Cole Haan,Bags,Buyout,84.22,0.0311,2.53,1.29,3.51,0.0,0.0,94.16,94.16
2026-01-01,SKU00159,External Brand,Lululemon,Training Shoes,Consignment,69.18,0.0777,3.32,1.94,0.95,0.0,0.0,80.76,80.76
2026-01-01,SKU00160,External Brand,Champion,Bags,Consignment,16.41,0.0387,2.5,1.83,2.76,0.0,0.0,24.14,24.14
2026-01-01,SKU00161,External Brand,New Balance,Outdoor Apparel,Consignment,9.86,0.0525,4.4,1.9,0.92,0.0,0.0,17.6,17.6
2026-01-01,SKU00162,External Brand,Champion,Underwear,Buyout,31.56,0.0778,0.54,2.83,2.27,0.0,0.0,39.65,39.65
2026-01-01,SKU00163,External Brand,Adidas,Outdoor Apparel,Consignment,75.54,0.0228,4.96,1.69,0.45,0.0,0.0,84.36,84.36
2026-01-01,SKU00164,External Brand,Adidas,Underwear,Buyout,91.52,0.0298,1.98,2.33,3.43,0.0,0.0,101.99,101.99
2026-01-01,SKU00165,Himaxx Own,Brand B,Underwear,Own Brand,110.38,0.0344,2.46,2.29,3.86,0.0,0.0,122.79,122.79
2026-01-01,SKU00166,External Brand,Brooks Brothers,Underwear,Buyout,16.27,0.0657,1.55,2.4,3.34,0.075,13.51,24.64,38.14
2026-01-01,SKU00167,Himaxx Own,Brand B,Yoga Apparel,Own Brand,208.97,0.0624,1.74,1.74,4.89,0.0,0.0,230.4,230.4
2026-01-01,SKU00168,External Brand,Cole Haan,Sportswear,Buyout,12.19,0.0685,4.19,1.39,3.85,0.0,0.0,22.46,22.46
2026-01-01,SKU00169,Himaxx Own,Brand A,Basketball Shoes,Own Brand,75.32,0.0215,3.99,3.16,13.78,0.0,0.0,97.88,97.88
2026-01-01,SKU00170,External Brand,Nike,Lifestyle Apparel,Buyout,101.36,0.0721,2.32,1.68,0.37,0.0,0.0,113.04,113.04
2026-01-01,SKU00171,External Brand,Brooks Brothers,Sportswear,Consignment,5.27,0.027,1.72,3.27,3.18,0.046,20.48,13.58,34.06
2026-01-01,SKU00172,External Brand,Nike,Running Shoes,Consignment,38.06,0.0412,2.74,0.53,0.57,0.0,0.0,43.46,43.46
2026-01-01,SKU00173,External Brand,Champion,Bags,Buyout,31.87,0.0592,1.28,1.96,3.97,0.0,0.0,40.97,40.97
2026-01-01,SKU00174,External Brand,Nike,Yoga Apparel,Consignment,9.97,0.034,4.61,0.76,3.74,0.0,0.0,19.42,19.42
2026-01-01,SKU00175,External Brand,Under Armour,Sportswear,Consignment,4.06,0.0405,2.23,0.55,2.21,0.0,0.0,9.21,9.21
2026-01-01,SKU00176,External Brand,Salomon,Underwear,Buyout,118.2,0.079,3.32,2.46,1.21,0.0,0.0,134.54,134.54
2026-01-01,SKU00177,External Brand,Brooks Brothers,Lifestyle Apparel,Buyout,87.57,0.0588,2.11,1.38,0.32,0.0466,42.72,96.53,139.24
2026-01-01,SKU00178,External Brand,Puma,Training Shoes,Buyout,161.82,0.0203,0.86,1.28,3.77,0.0,0.0,171.0,171.0
2026-01-01,SKU00179,External Brand,Brooks Brothers,Kids Apparel,Buyout,18.62,0.0686,3.21,1.54,0.33,0.0418,9.59,24.98,34.58
2026-01-01,SKU00180,External Brand,Skechers,Underwear,Consignment,25.63,0.0327,3.81,0.7,0.14,0.0,0.0,31.12,31.12
2026-01-01,SKU00181,Himaxx Own,Brand A,Training Shoes,Own Brand,283.92,0.0705,3.31,2.86,13.95,0.0,0.0,324.04,324.04
2026-01-01,SKU00182,External Brand,The North Face,Basketball Shoes,Buyout,260.54,0.0219,2.83,2.43,2.64,0.0,0.0,274.14,274.14
2026-01-01,SKU00183,External Brand,Adidas,Bags,Consignment,17.15,0.0302,1.77,0.37,3.64,0.0,0.0,23.44,23.44
2026-01-01,SKU00184,External Brand,The North Face,Kids Apparel,Buyout,207.68,0.0519,3.24,3.24,1.99,0.0,0.0,226.93,226.93
2026-01-01,SKU00185,External Brand,Adidas,Outdoor Apparel,Buyout,104.93,0.0269,3.76,0.37,0.03,0.0,0.0,111.92,111.92
2026-01-01,SKU00186,External Brand,New Balance,Sportswear,Consignment,15.43,0.0224,1.95,0.51,0.09,0.0,0.0,18.32,18.32
