month,store_id,channel,store_format,primary_marketing_channel,marketing_spend,new_customers,orders,gmv,recognized_revenue,gross_profit,cac,roas,revenue_per_order,gross_profit_per_order
2026-01-01,S020,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,4253.33,16,339,96326.1,70246.12,29621.32,265.83,22.6472,207.22,87.38
2026-01-01,S021,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,Member Coupon,4103.42,11,292,68942.31,51620.54,14172.68,373.04,16.8012,176.78,48.54
2026-01-01,S022,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,3000.0,16,218,56742.76,39351.15,16332.24,187.5,18.9143,180.51,74.92
2026-01-01,S023,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,4008.27,17,297,91999.3,68859.28,28045.96,235.78,22.9523,231.85,94.43
2026-01-01,S024,Himaxx Warehouse Outlet,Mall Warehouse,Mall Promotion,3000.0,5,158,46449.05,36106.36,14692.28,600.0,15.483,228.52,92.99
2026-01-01,S025,Himaxx Warehouse Outlet,Shopping Center Warehouse,Search Ads,4525.72,16,286,86774.48,63982.52,24895.94,282.86,19.1736,223.72,87.05
2026-01-01,S026,Himaxx Warehouse Outlet,Shopping Center Warehouse,WeChat,5767.35,12,380,109549.53,81482.72,34017.4,480.61,18.9948,214.43,89.52
2026-01-01,S027,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,3000.0,8,129,35242.57,24284.82,10062.77,375.0,11.7475,188.25,78.01
2026-01-01,S028,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3000.0,9,204,53568.4,37519.55,12647.86,333.33,17.8561,183.92,62.0
2026-01-01,S029,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3000.0,13,271,70527.31,50220.61,20651.31,230.77,23.5091,185.32,76.2
2026-01-01,S030,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3000.0,12,215,61837.13,46470.17,17238.79,250.0,20.6124,216.14,80.18
2026-01-01,S031,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3000.0,9,203,50688.19,37108.06,13905.66,333.33,16.8961,182.8,68.5
2026-01-01,S032,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,3000.0,12,281,81911.31,57925.26,23429.76,250.0,27.3038,206.14,83.38
2026-01-01,S033,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,3531.68,10,224,61425.59,42769.1,17908.72,353.17,17.3927,190.93,79.95
2026-01-01,S034,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3089.13,13,385,108997.11,76735.8,31236.67,237.63,35.284,199.31,81.13
2026-01-01,S035,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,Member Coupon,3000.0,13,240,55360.93,38981.27,10911.98,230.77,18.4536,162.42,45.47
2026-01-01,S036,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,3000.0,13,267,74900.04,54692.21,21182.81,230.77,24.9667,204.84,79.34
2026-01-01,S037,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3000.0,5,201,56649.03,41477.49,16596.53,600.0,18.883,206.36,82.57
2026-01-01,S038,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,3554.26,22,334,97108.72,67946.56,26144.55,161.56,27.3218,203.43,78.28
2026-01-01,S039,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,Xiaohongshu,3852.41,10,316,72433.56,53542.45,14029.12,385.24,18.8021,169.44,44.4
2026-01-01,S040,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3000.0,25,413,111429.51,78169.44,30571.37,120.0,37.1432,189.27,74.02
2026-01-01,S041,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,3000.0,17,144,35869.88,27899.49,10271.06,176.47,11.9566,193.75,71.33
2026-01-01,S042,Himaxx Warehouse Outlet,Community Warehouse,Offline Event,3000.0,17,353,92709.76,65772.63,24442.78,176.47,30.9033,186.32,69.24
2026-01-01,S043,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,3040.53,9,329,96587.19,71654.87,29650.21,337.84,31.7665,217.8,90.12
2026-01-01,S044,Himaxx Warehouse Outlet,Community Warehouse,WeChat,3000.0,21,326,91759.96,66689.26,25706.8,142.86,30.5867,204.57,78.86
2026-01-01,S045,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3719.94,18,317,86187.2,62563.76,24495.74,206.66,23.169,197.36,77.27
2026-01-01,S046,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,3844.81,12,334,98139.67,77375.2,30327.82,320.4,25.5252,231.66,90.8
2026-01-01,S047,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3281.49,10,295,75737.08,51994.67,20420.96,328.15,23.0801,176.25,69.22
2026-01-01,S048,Himaxx Warehouse Outlet,Mall Warehouse,Mall Promotion,3998.74,15,256,68053.38,48771.74,19288.31,266.58,17.0187,190.51,75.34
2026-01-01,S049,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3000.0,16,368,103462.81,74028.39,29229.45,187.5,34.4876,201.16,79.43
2026-01-01,S050,Himaxx Warehouse Outlet,Community Warehouse,WeChat,3000.0,7,184,48938.91,36651.93,14250.64,428.57,16.313,199.2,77.45
2026-01-01,S051,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,4054.09,13,274,80887.16,57304.91,24255.76,311.85,19.952,209.14,88.52
2026-01-01,S052,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,3000.0,11,220,63934.73,42040.07,19232.53,272.73,21.3116,191.09,87.42
2026-01-01,S053,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,4823.06,20,371,99188.26,73877.42,29268.18,241.15,20.5654,199.13,78.89
2026-01-01,S054,Himaxx Warehouse Outlet,Community Warehouse,Offline Event,5048.78,14,346,97242.36,72007.92,30234.38,360.63,19.2606,208.12,87.38
2026-01-01,S055,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,5535.22,16,360,96612.39,66440.57,26341.7,345.95,17.4541,184.56,73.17
2026-01-01,S056,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,5115.34,15,344,103446.6,74965.38,29626.51,341.02,20.2228,217.92,86.12
2026-01-01,S057,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,3356.05,11,268,76799.4,55233.33,20641.13,305.1,22.8839,206.09,77.02
2026-01-01,S058,Himaxx Warehouse Outlet,Shopping Center Warehouse,WeChat,3000.0,12,198,62449.05,47101.16,16593.82,250.0,20.8163,237.88,83.81
2026-01-01,S059,Himaxx Warehouse Outlet,Mall Warehouse,WeChat,3000.0,9,141,41017.82,32253.54,12581.27,333.33,13.6726,228.75,89.23
2026-01-01,S060,Himaxx Warehouse Outlet,Mall Warehouse,WeChat,3453.09,18,328,91038.08,63889.6,26365.94,191.84,26.3642,194.79,80.38
2026-01-01,S061,Himaxx Warehouse Outlet,Community Warehouse,WeChat,3000.0,5,149,46202.86,33613.75,12305.98,600.0,15.401,225.6,82.59
2026-01-01,S062,Himaxx Warehouse Outlet,Community Warehouse,WeChat,3000.0,21,302,87276.23,58193.22,24910.06,142.86,29.0921,192.69,82.48
2026-01-01,S063,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,3000.0,5,138,38579.23,29280.16,11194.45,600.0,12.8597,212.18,81.12
2026-01-01,S064,Himaxx Warehouse Outlet,Shopping Center Warehouse,Search Ads,3497.46,15,327,99304.65,75781.92,30001.27,233.16,28.3934,231.75,91.75
2026-01-01,S065,Himaxx Warehouse Outlet,Shopping Center Warehouse,WeChat,3000.0,9,252,74006.55,53376.43,20802.43,333.33,24.6689,211.81,82.55
2026-01-01,S066,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,3000.0,12,183,46346.62,33013.02,14156.59,250.0,15.4489,180.4,77.36
2026-01-01,S067,Himaxx Warehouse Outlet,Shopping Center Warehouse,WeChat,4854.29,10,288,83381.27,63095.38,25848.52,485.43,17.1768,219.08,89.75
2026-01-01,S068,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,3000.0,20,259,67884.57,47803.0,19232.29,150.0,22.6282,184.57,74.26
2026-01-01,S069,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3150.86,15,281,77661.65,53508.63,19032.22,210.06,24.6478,190.42,67.73
2026-01-01,S070,Himaxx Warehouse Outlet,Shopping Center Warehouse,Search Ads,3000.0,8,132,39535.38,23762.5,10364.38,375.0,13.1785,180.02,78.52
2026-01-01,S071,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3000.0,11,260,73783.46,54371.65,22072.99,272.73,24.5945,209.12,84.9
2026-01-01,S072,Himaxx Warehouse Outlet,Community Warehouse,Search Ads,3000.0,10,151,40769.08,29636.52,10453.25,300.0,13.5897,196.27,69.23
2026-01-01,S073,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,3000.0,14,294,81619.32,61305.69,22150.94,214.29,27.2064,208.52,75.34
2026-01-01,S074,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,3000.0,13,343,97392.98,72831.63,28606.55,230.77,32.4643,212.34,83.4
2026-01-01,S075,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,3000.0,12,249,65452.0,49003.7,19017.69,250.0,21.8173,196.8,76.38
2026-01-01,S076,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3000.0,13,187,51493.05,36646.64,14444.99,230.77,17.1644,195.97,77.25
2026-02-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,4639.55,37,351,103026.91,73860.81,26945.29,125.39,22.2062,210.43,76.77
2026-02-01,S002,Himaxx Warehouse Outlet,Shopping Center Warehouse,WeChat,3746.46,27,222,64026.77,45633.13,18075.29,138.76,17.0899,205.55,81.42
2026-02-01,S003,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3000.0,13,160,45498.72,34564.51,13940.67,230.77,15.1662,216.03,87.13
2026-02-01,S004,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,Xiaohongshu,3000.0,21,195,51106.92,38596.12,10964.33,142.86,17.0356,197.93,56.23
2026-02-01,S005,Himaxx Warehouse Outlet,Shopping Center Warehouse,WeChat,3000.0,19,193,53222.79,38045.81,15101.45,157.89,17.7409,197.13,78.25
2026-02-01,S006,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3000.0,21,203,55219.68,41008.44,15738.92,142.86,18.4066,202.01,77.53
2026-02-01,S007,Himaxx Warehouse Outlet,Mall Warehouse,Mall Promotion,3000.0,28,234,62792.26,47917.2,16062.28,107.14,20.9308,204.77,68.64
2026-02-01,S008,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,4268.38,38,337,86502.0,65201.74,26089.71,112.33,20.2658,193.48,77.42
2026-02-01,S009,Himaxx Warehouse Outlet,Mall Warehouse,Mall Promotion,4114.64,35,291,77506.58,57659.43,23102.82,117.56,18.8368,198.14,79.39
2026-02-01,S010,Himaxx Warehouse Outlet,Community Warehouse,Offline Event,3000.0,30,255,68102.48,50629.09,22043.93,100.0,22.7008,198.55,86.45
2026-02-01,S011,Himaxx Warehouse Outlet,Community Warehouse,Search Ads,3632.83,22,216,65489.2,46934.02,21178.12,165.13,18.0271,217.29,98.05
2026-02-01,S012,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3214.14,40,349,94067.46,68804.59,23746.89,80.35,29.2667,197.15,68.04
2026-02-01,S013,Himaxx Warehouse Outlet,Community Warehouse,WeChat,4625.21,36,309,86701.76,64615.45,25263.96,128.48,18.7455,209.11,81.76
2026-02-01,S014,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,3284.73,22,201,56343.99,41662.21,15196.53,149.31,17.1533,207.27,75.6
2026-02-01,S015,Himaxx Warehouse Outlet,Mall Warehouse,Mall Promotion,3000.0,26,196,60178.78,45333.49,17005.06,115.38,20.0596,231.29,86.76
2026-02-01,S016,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,5912.94,43,351,108007.66,76907.84,32916.4,137.51,18.2663,219.11,93.78
2026-02-01,S017,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,3000.0,24,216,56244.41,37822.99,16441.86,125.0,18.7481,175.11,76.12
2026-02-01,S018,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,3210.54,35,300,79968.93,61032.42,24797.35,91.73,24.9082,203.44,82.66
2026-02-01,S019,Himaxx Warehouse Outlet,Shopping Center Warehouse,Search Ads,3138.09,22,195,53791.61,38369.22,16833.05,142.64,17.1415,196.77,86.32
2026-02-01,S020,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3000.0,39,335,95881.64,64230.73,25443.24,76.92,31.9605,191.73,75.95
2026-02-01,S021,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,KOL Collaboration,3000.0,28,275,58929.88,44161.25,12023.39,107.14,19.6433,160.59,43.72
2026-02-01,S022,Himaxx Warehouse Outlet,Mall Warehouse,WeChat,3000.0,24,199,48441.29,33255.35,12616.91,125.0,16.1471,167.11,63.4
2026-02-01,S023,Himaxx Warehouse Outlet,Mall Warehouse,Mall Promotion,3000.0,28,269,70474.44,48509.64,20820.66,107.14,23.4915,180.33,77.4
2026-02-01,S024,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,3000.0,21,165,45589.78,31539.31,11722.5,142.86,15.1966,191.15,71.05
2026-02-01,S025,Himaxx Warehouse Outlet,Shopping Center Warehouse,Search Ads,3000.0,27,269,75214.95,53316.13,21493.51,111.11,25.0716,198.2,79.9
2026-02-01,S026,Himaxx Warehouse Outlet,Shopping Center Warehouse,Search Ads,3042.29,42,354,96540.05,69814.97,29130.39,72.44,31.7327,197.22,82.29
2026-02-01,S027,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,3000.0,9,94,25461.01,18143.93,7807.15,333.33,8.487,193.02,83.05
2026-02-01,S028,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3000.0,23,178,53313.73,42272.77,15106.87,130.43,17.7712,237.49,84.87
2026-02-01,S029,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3000.0,33,237,64782.89,49259.41,19407.33,90.91,21.5943,207.85,81.89
2026-02-01,S030,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,3000.0,24,207,53662.04,35806.81,15630.2,125.0,17.8873,172.98,75.51
2026-02-01,S031,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3000.0,20,172,45394.43,31882.78,12172.03,150.0,15.1315,185.36,70.77
2026-02-01,S032,Himaxx Warehouse Outlet,Mall Warehouse,Mall Promotion,3337.98,26,246,72603.58,55097.01,21598.0,128.38,21.7508,223.97,87.8
2026-02-01,S033,Himaxx Warehouse Outlet,Mall Warehouse,WeChat,3000.0,23,189,57247.77,39685.71,14271.74,130.43,19.0826,209.98,75.51
2026-02-01,S034,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3190.27,38,341,98588.36,71750.31,29373.43,83.95,30.9028,210.41,86.14
2026-02-01,S035,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,KOL Collaboration,3048.17,19,184,48276.86,34324.42,10445.89,160.43,15.838,186.55,56.77
2026-02-01,S036,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3000.0,27,230,65038.11,52195.16,18273.71,111.11,21.6794,226.94,79.45
2026-02-01,S037,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,3000.0,16,160,42112.11,28739.42,11292.29,187.5,14.0374,179.62,70.58
2026-02-01,S038,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3000.0,36,302,75194.85,51370.72,22738.26,83.33,25.065,170.1,75.29
2026-02-01,S039,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,Xiaohongshu,4314.66,39,270,63225.57,45793.68,13134.51,110.63,14.6537,169.61,48.65
2026-02-01,S040,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3061.67,40,322,84889.78,65510.43,23147.77,76.54,27.7266,203.45,71.89
2026-02-01,S041,Himaxx Warehouse Outlet,Shopping Center Warehouse,Search Ads,3000.0,19,161,41737.14,30317.0,11488.53,157.89,13.9124,188.3,71.36
2026-02-01,S042,Himaxx Warehouse Outlet,Community Warehouse,WeChat,3000.0,40,303,83506.47,62263.06,22298.11,75.0,27.8355,205.49,73.59
2026-02-01,S043,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,3000.0,30,265,67021.48,48582.98,18785.87,100.0,22.3405,183.33,70.89
2026-02-01,S044,Himaxx Warehouse Outlet,Community Warehouse,WeChat,3000.0,33,278,82179.07,58005.44,22998.58,90.91,27.393,208.65,82.73
2026-02-01,S045,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,3121.23,35,249,69773.19,51024.65,19532.58,89.18,22.3544,204.92,78.44
2026-02-01,S046,Himaxx Warehouse Outlet,Shopping Center Warehouse,WeChat,3055.14,34,277,74915.48,52410.4,23836.7,89.86,24.5212,189.21,86.05
2026-02-01,S047,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3079.6,30,253,69428.2,52166.46,17515.33,102.65,22.5446,206.19,69.23
2026-02-01,S048,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,3000.0,31,225,54523.34,37261.04,16275.99,96.77,18.1744,165.6,72.34
2026-02-01,S049,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3000.0,45,325,78448.9,57076.14,22051.76,66.67,26.1496,175.62,67.85
2026-02-01,S050,Himaxx Warehouse Outlet,Community Warehouse,Offline Event,3000.0,24,198,55617.99,40945.74,16097.45,125.0,18.5393,206.8,81.3
2026-02-01,S051,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,3000.0,26,248,69266.2,50677.58,21661.84,115.38,23.0887,204.35,87.35
2026-02-01,S052,Himaxx Warehouse Outlet,Shopping Center Warehouse,WeChat,3000.0,29,206,59297.81,43930.4,18383.03,103.45,19.7659,213.25,89.24
2026-02-01,S053,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,3000.0,40,326,91059.76,68477.36,26034.45,75.0,30.3533,210.05,79.86
2026-02-01,S054,Himaxx Warehouse Outlet,Community Warehouse,Offline Event,3641.47,34,309,87609.84,63872.77,23980.25,107.1,24.0589,206.71,77.61
2026-02-01,S055,Himaxx Warehouse Outlet,Mall Warehouse,WeChat,3000.0,40,327,80138.26,58182.26,24828.21,75.0,26.7128,177.93,75.93
2026-02-01,S056,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3000.0,30,278,69739.66,48243.2,16072.33,100.0,23.2466,173.54,57.81
2026-02-01,S057,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,3000.0,27,248,67171.04,47803.86,18992.21,111.11,22.3903,192.76,76.58
2026-02-01,S058,Himaxx Warehouse Outlet,Shopping Center Warehouse,WeChat,3000.0,22,184,48044.09,34643.43,14712.68,136.36,16.0147,188.28,79.96
2026-02-01,S059,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,3000.0,16,151,39633.66,27344.61,10563.33,187.5,13.2112,181.09,69.96
2026-02-01,S060,Himaxx Warehouse Outlet,Mall Warehouse,WeChat,4112.59,33,292,75847.16,55860.29,22247.0,124.62,18.4427,191.3,76.19
2026-02-01,S061,Himaxx Warehouse Outlet,Community Warehouse,Offline Event,3000.0,13,126,36628.97,25565.89,10607.75,230.77,12.2097,202.9,84.19
2026-02-01,S062,Himaxx Warehouse Outlet,Community Warehouse,WeChat,3000.0,35,303,80646.08,56483.47,22079.15,85.71,26.882,186.41,72.87
2026-02-01,S063,Himaxx Warehouse Outlet,Mall Warehouse,Mall Promotion,3000.0,11,123,32749.92,23860.58,9205.81,272.73,10.9166,193.99,74.84
2026-02-01,S064,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,3281.77,38,313,96619.6,70534.6,29976.6,86.36,29.4413,225.35,95.77
2026-02-01,S065,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,3408.5,30,264,71357.11,52320.72,21667.79,113.62,20.9351,198.18,82.07
2026-02-01,S066,Himaxx Warehouse Outlet,Shopping Center Warehouse,WeChat,3000.0,17,155,45000.01,32558.13,13867.43,176.47,15.0,210.05,89.47
2026-02-01,S067,Himaxx Warehouse Outlet,Shopping Center Warehouse,Search Ads,3000.0,37,279,71825.91,53102.02,22469.79,81.08,23.942,190.33,80.54
2026-02-01,S068,Himaxx Warehouse Outlet,Mall Warehouse,WeChat,3000.0,29,241,76689.36,53563.79,22492.96,103.45,25.5631,222.26,93.33
2026-02-01,S069,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3000.0,23,218,56473.88,36658.95,14778.1,130.43,18.8246,168.16,67.79
2026-02-01,S070,Himaxx Warehouse Outlet,Shopping Center Warehouse,Search Ads,3000.0,10,115,38104.79,30002.28,12534.58,300.0,12.7016,260.89,109.0
2026-02-01,S071,Himaxx Warehouse Outlet,Warehouse Outlet,Member Coupon,3222.09,23,234,65408.33,44490.15,18704.08,140.09,20.3,190.13,79.93
2026-02-01,S072,Himaxx Warehouse Outlet,Community Warehouse,Offline Event,3000.0,20,166,47953.42,32130.83,12767.87,150.0,15.9845,193.56,76.91
2026-02-01,S073,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,3000.0,35,286,80780.29,59068.53,23160.9,85.71,26.9268,206.53,80.98
2026-02-01,S074,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3449.18,40,331,88993.62,65777.59,24112.46,86.23,25.8014,198.72,72.85
2026-02-01,S075,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3000.0,27,241,71847.05,46860.32,20199.34,111.11,23.949,194.44,83.81
2026-02-01,S076,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3000.0,15,179,50169.82,38256.98,13958.28,200.0,16.7233,213.73,77.98
2026-03-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,4184.65,52,427,114893.03,78780.61,30812.05,80.47,27.4559,184.5,72.16
2026-03-01,S002,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,3000.0,32,255,69896.91,52983.91,20906.29,93.75,23.299,207.78,81.99
2026-03-01,S003,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3000.0,17,169,45181.72,33497.62,12592.31,176.47,15.0606,198.21,74.51
2026-03-01,S004,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,Member Coupon,3772.67,22,229,49050.16,36281.99,9674.63,171.49,13.0014,158.44,42.25
2026-03-01,S005,Himaxx Warehouse Outlet,Shopping Center Warehouse,Search Ads,3000.0,30,243,69921.38,50231.16,19700.0,100.0,23.3071,206.71,81.07
2026-03-01,S006,Himaxx Warehouse Outlet,Warehouse Outlet,Local Community Ads,3000.0,27,209,51366.48,40996.39,16429.28,111.11,17.1222,196.15,78.61
2026-03-01,S007,Himaxx Warehouse Outlet,Mall Warehouse,Mall Promotion,3000.0,32,274,70661.6,52991.9,20605.34,93.75,23.5539,193.4,75.2
2026-03-01,S008,Himaxx Warehouse Outlet,Mall Warehouse,Mall Promotion,5302.04,44,323,93990.08,65268.72,27111.78,120.5,17.7271,202.07,83.94
2026-03-01,S009,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,4695.42,34,302,79737.43,58699.6,22282.07,138.1,16.9819,194.37,73.78
2026-03-01,S010,Himaxx Warehouse Outlet,Community Warehouse,Offline Event,3800.33,31,299,95646.74,73674.63,29669.91,122.59,25.168,246.4,99.23
2026-03-01,S011,Himaxx Warehouse Outlet,Community Warehouse,Offline Event,3000.0,27,222,59518.3,43608.13,16342.48,111.11,19.8394,196.43,73.61
2026-03-01,S012,Himaxx Warehouse Outlet,Warehouse Outlet,WeChat,3000.0,50,406,106798.61,74970.7,27880.54,60.0,35.5995,184.66,68.67
2026-03-01,S013,Himaxx Warehouse Outlet,Community Warehouse,Offline Event,3000.0,41,396,118352.11,88073.33,34916.59,73.17,39.4507,222.41,88.17
2026-03-01,S014,Himaxx Warehouse Outlet,Shopping Center Warehouse,Search Ads,4007.18,28,226,67766.2,49891.76,20627.09,143.11,16.9112,220.76,91.27
2026-03-01,S015,Himaxx Warehouse Outlet,Mall Warehouse,Offline Event,3000.0,37,273,70552.84,50164.25,18779.26,81.08,23.5176,183.75,68.79
2026-03-01,S016,Himaxx Warehouse Outlet,Shopping Center Warehouse,Offline Event,5381.95,51,407,107392.79,78943.34,32920.24,105.53,19.9542,193.96,80.89
