month,store_id,channel,store_format,region,city,target_gmv,target_recognized_revenue,target_gross_profit,target_gross_margin_pct,target_store_cm,target_traffic,target_order_cvr,target_upt,target_aur,target_gmroi
2026-01-01,S019,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Qingdao,70813.36,49998.89,19680.37,0.3936,6874.03,7062,0.0323,1.7186,188.01,4.18
2026-01-01,S020,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Shanghai,107678.18,75822.53,33458.33,0.4413,13653.66,9276,0.0417,1.5627,172.3,3.98
2026-01-01,S021,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,Central China,Changsha,72343.85,63508.57,16337.36,0.2572,6192.49,7404,0.0461,1.8065,145.1,4.46
2026-01-01,S022,Himaxx Warehouse Outlet,Mall Warehouse,South China,Xiamen,52441.85,34294.35,14038.78,0.4094,2354.59,8304,0.0291,1.4846,165.64,1.94
2026-01-01,S023,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,98666.24,70975.65,27139.75,0.3824,5430.97,7412,0.0386,1.6661,193.09,2.25
2026-01-01,S024,Himaxx Warehouse Outlet,Mall Warehouse,West China,Chongqing,47973.81,31426.02,13581.03,0.4322,1637.07,6552,0.025,1.5589,175.93,1.81
2026-01-01,S025,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Hangzhou,85733.41,59917.1,24406.36,0.4073,5008.61,7690,0.0391,1.6434,207.14,1.76
2026-01-01,S026,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Beijing,107225.36,81194.31,35555.54,0.4379,14750.88,9182,0.0485,1.6975,190.0,3.51
2026-01-01,S027,Himaxx Warehouse Outlet,Shopping Center Warehouse,West China,Chengdu,41078.92,21653.68,8653.47,0.3996,1962.54,7518,0.025,1.4283,181.79,4.08
2026-01-01,S028,Himaxx Warehouse Outlet,Warehouse Outlet,West China,Chongqing,61518.79,41938.52,15222.4,0.363,2943.55,8857,0.0251,1.6625,159.39,2.87
2026-01-01,S029,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Suzhou,73774.87,47681.92,21498.19,0.4509,5475.47,7963,0.0356,1.8792,166.92,2.42
2026-01-01,S030,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,70144.02,50458.54,19432.83,0.3851,5676.23,7300,0.0308,1.6881,173.77,1.57
2026-01-01,S031,Himaxx Warehouse Outlet,Warehouse Outlet,West China,Xi'an,53599.95,38641.34,14162.19,0.3665,2883.96,7077,0.0311,1.7176,160.67,3.14
2026-01-01,S032,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Wuhan,76604.4,64337.45,26164.43,0.4067,9695.08,9004,0.0339,1.8328,194.77,1.73
2026-01-01,S033,Himaxx Warehouse Outlet,Mall Warehouse,West China,Chongqing,68129.99,39474.98,16343.18,0.414,2078.63,7339,0.0323,1.6207,187.56,3.04
2026-01-01,S034,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,117579.28,87015.67,35816.74,0.4116,11814.53,8653,0.0479,1.6245,190.65,3.65
2026-01-01,S035,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,West China,Chongqing,62698.65,41354.61,11127.28,0.2691,1342.28,8831,0.0317,1.8371,133.18,4.49
2026-01-01,S036,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Nanjing,76186.13,55298.32,22673.7,0.41,6514.12,8039,0.0344,1.7203,186.72,3.17
2026-01-01,S037,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,57659.55,46015.13,18000.35,0.3912,2861.95,7090,0.031,1.5627,166.34,4.4
2026-01-01,S038,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Qingdao,114150.11,78453.37,30554.94,0.3895,7321.16,8481,0.0402,1.663,163.84,4.01
2026-01-01,S039,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,South China,Shenzhen,69547.03,62308.27,17653.11,0.2833,3634.5,8696,0.0351,1.5085,155.65,4.15
2026-01-01,S040,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Xiamen,109011.33,83549.75,32567.39,0.3898,9139.68,8728,0.0484,1.6612,157.42,2.84
2026-01-01,S041,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Shanghai,40543.04,29653.44,10692.81,0.3606,1231.32,6947,0.025,1.4117,163.58,2.5
2026-01-01,S042,Himaxx Warehouse Outlet,Community Warehouse,East China,Shanghai,102323.85,76592.09,26916.88,0.3514,8770.7,8688,0.0514,1.722,177.62,4.19
2026-01-01,S043,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Hangzhou,104314.19,78215.56,30299.06,0.3874,10971.21,9164,0.0429,1.8522,165.79,1.73
2026-01-01,S044,Himaxx Warehouse Outlet,Community Warehouse,Central China,Changsha,100380.42,71769.16,27052.94,0.3769,14692.35,8292,0.0461,1.682,157.59,3.34
2026-01-01,S045,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,85361.97,62694.06,23573.55,0.376,7353.4,7420,0.0394,1.6195,175.85,1.67
2026-01-01,S046,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Shanghai,111199.84,96423.2,40398.48,0.419,10704.38,8640,0.0473,1.6328,175.51,1.66
2026-01-01,S047,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Xiamen,78343.9,51311.52,21607.95,0.4211,3557.94,7058,0.0395,1.562,172.5,3.71
2026-01-01,S048,Himaxx Warehouse Outlet,Mall Warehouse,West China,Chongqing,71561.68,49211.81,18758.07,0.3812,7863.88,7168,0.0328,1.6632,187.03,1.92
2026-01-01,S049,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,98830.89,85394.47,37433.99,0.4384,17626.19,9001,0.0555,1.762,164.22,4.41
2026-01-01,S050,Himaxx Warehouse Outlet,Community Warehouse,East China,Suzhou,57050.55,39637.35,16927.45,0.4271,3552.6,8054,0.0254,1.6456,183.59,3.03
2026-01-01,S051,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Qingdao,79329.56,52693.75,21829.0,0.4143,6207.1,7441,0.0421,1.6566,204.18,1.99
2026-01-01,S052,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Shanghai,60974.85,43915.15,22116.56,0.5036,5990.34,6860,0.0271,1.8076,197.41,2.51
2026-01-01,S053,Himaxx Warehouse Outlet,Warehouse Outlet,West China,Chongqing,102521.7,80991.18,29987.17,0.3703,6940.95,7352,0.0559,1.6669,183.5,3.46
2026-01-01,S054,Himaxx Warehouse Outlet,Community Warehouse,North China,Tianjin,102229.33,80406.96,33744.11,0.4197,7912.17,7774,0.0428,1.5524,181.32,2.08
2026-01-01,S055,Himaxx Warehouse Outlet,Mall Warehouse,South China,Xiamen,107517.32,69457.84,27987.76,0.4029,7986.5,7078,0.0486,1.7138,173.84,2.34
2026-01-01,S056,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Nanjing,100040.59,92116.08,37157.79,0.4034,17459.69,9225,0.0416,1.7941,180.28,4.08
2026-01-01,S057,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Shanghai,82642.45,59891.71,24596.67,0.4107,6313.33,7136,0.0394,1.5005,198.87,2.6
2026-01-01,S058,Himaxx Warehouse Outlet,Shopping Center Warehouse,South China,Xiamen,72972.53,49459.19,17261.39,0.349,3215.07,6705,0.0282,1.6156,212.41,3.03
2026-01-01,S059,Himaxx Warehouse Outlet,Mall Warehouse,East China,Suzhou,43362.03,33497.39,12964.22,0.387,1908.76,7064,0.025,1.5771,190.48,1.78
2026-01-01,S060,Himaxx Warehouse Outlet,Mall Warehouse,West China,Xi'an,100412.34,74515.04,33089.69,0.4441,9836.83,7303,0.0435,1.4711,183.9,3.89
2026-01-01,S061,Himaxx Warehouse Outlet,Community Warehouse,South China,Xiamen,43183.32,34412.96,13368.28,0.3885,3285.8,7897,0.025,1.6628,195.53,1.7
2026-01-01,S062,Himaxx Warehouse Outlet,Community Warehouse,West China,Xi'an,102977.17,60190.61,23953.53,0.398,7350.01,9817,0.032,1.7972,169.0,3.47
2026-01-01,S063,Himaxx Warehouse Outlet,Mall Warehouse,East China,Nanjing,41134.63,30155.74,12056.2,0.3998,2742.83,7003,0.025,1.6606,189.33,2.63
2026-01-01,S064,Himaxx Warehouse Outlet,Shopping Center Warehouse,South China,Guangzhou,99940.34,94451.78,41818.42,0.4427,11043.32,9068,0.04,1.4918,201.17,4.11
2026-01-01,S065,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,85090.62,52024.34,19405.48,0.373,5829.63,7859,0.0351,1.7957,189.96,3.17
2026-01-01,S066,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,42709.13,36205.13,17255.72,0.4766,2151.92,6774,0.025,1.6114,172.38,3.42
2026-01-01,S067,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Beijing,97220.72,61765.66,26050.5,0.4218,9301.83,7649,0.0356,1.649,175.75,3.25
2026-01-01,S068,Himaxx Warehouse Outlet,Mall Warehouse,East China,Suzhou,67731.26,56324.69,22263.88,0.3953,8440.67,9652,0.0297,1.6697,179.52,1.62
2026-01-01,S069,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,84775.2,55866.03,21972.6,0.3933,4211.29,7208,0.039,1.6623,155.44,3.75
2026-01-01,S070,Himaxx Warehouse Outlet,Shopping Center Warehouse,Central China,Changsha,38975.96,25497.38,10327.07,0.405,1385.85,7106,0.025,1.6219,180.47,3.02
2026-01-01,S071,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Qingdao,76303.97,56915.89,21326.97,0.3747,5568.65,8348,0.0323,1.5661,195.94,3.45
2026-01-01,S072,Himaxx Warehouse Outlet,Community Warehouse,Central China,Changsha,47857.82,29707.22,10027.9,0.3376,2524.6,9707,0.025,1.8044,151.58,3.96
2026-01-01,S073,Himaxx Warehouse Outlet,Mall Warehouse,North China,Tianjin,91430.43,59746.9,22960.36,0.3843,8620.22,8544,0.0405,1.6749,161.26,1.85
2026-01-01,S074,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Tianjin,89744.65,81588.61,35253.26,0.4321,9940.45,7131,0.052,1.7894,159.99,1.91
2026-01-01,S075,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,64531.31,49300.18,21101.22,0.428,6683.69,8144,0.0297,1.7092,170.72,3.52
2026-01-01,S076,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Nanjing,52471.81,40686.99,15697.44,0.3858,4933.38,7088,0.0268,1.6891,183.58,3.92
2026-02-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,North China,Beijing,118325.25,74980.72,26546.46,0.354,4699.98,7954,0.0559,1.796,197.55,3.06
2026-02-01,S002,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Nanjing,62454.17,46706.17,20576.08,0.4405,4878.32,7376,0.0311,1.6491,170.09,2.65
2026-02-01,S003,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,45099.18,29408.96,12645.77,0.43,3311.62,6204,0.0257,1.567,169.18,4.34
2026-02-01,S004,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,South China,Xiamen,50223.92,37097.57,11331.09,0.3054,3830.9,5526,0.0347,1.7461,163.58,4.48
2026-02-01,S005,Himaxx Warehouse Outlet,Shopping Center Warehouse,Central China,Changsha,61337.94,40524.52,16895.39,0.4169,3634.92,6965,0.0309,1.7197,177.95,2.2
2026-02-01,S006,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Qingdao,51273.92,37385.68,14338.46,0.3835,3113.65,6254,0.0265,1.5323,165.08,1.66
2026-02-01,S007,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Wuhan,70764.2,44495.06,15689.34,0.3526,5245.5,7222,0.0352,1.515,170.28,3.54
2026-02-01,S008,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,85735.4,68764.83,26094.94,0.3795,9668.81,8315,0.0534,1.5897,186.24,3.97
2026-02-01,S009,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,82187.93,63924.87,25029.98,0.3916,7039.39,6664,0.0457,1.4506,187.44,4.22
2026-02-01,S010,Himaxx Warehouse Outlet,Community Warehouse,Central China,Changsha,77487.76,52437.64,22395.22,0.4271,7419.33,6589,0.0321,1.6172,186.45,4.25
2026-02-01,S011,Himaxx Warehouse Outlet,Community Warehouse,West China,Chengdu,69612.72,41744.65,19509.25,0.4673,5119.66,7315,0.0325,1.7884,191.22,1.93
2026-02-01,S012,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,97409.58,79444.59,26975.94,0.3396,10836.75,8077,0.0473,1.6062,173.03,3.83
2026-02-01,S013,Himaxx Warehouse Outlet,Community Warehouse,South China,Shenzhen,100752.09,70844.57,27542.91,0.3888,8433.79,8970,0.0364,1.6918,192.25,3.12
2026-02-01,S014,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,59547.44,38475.28,15189.12,0.3948,4067.91,7452,0.0301,1.5418,173.93,1.67
2026-02-01,S015,Himaxx Warehouse Outlet,Mall Warehouse,East China,Hangzhou,66973.27,42377.49,16150.0,0.3811,2740.22,6998,0.0312,1.8054,174.48,3.3
2026-02-01,S016,Himaxx Warehouse Outlet,Shopping Center Warehouse,West China,Chengdu,101627.79,90718.6,38228.14,0.4214,10240.58,6893,0.0531,1.7616,178.52,3.71
2026-02-01,S017,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Hangzhou,64441.16,35440.57,14969.47,0.4224,3062.34,6270,0.0304,1.4607,177.16,2.79
2026-02-01,S018,Himaxx Warehouse Outlet,Mall Warehouse,West China,Xi'an,88304.56,70692.29,27440.18,0.3882,11305.95,8297,0.0383,1.7315,162.51,4.48
2026-02-01,S019,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Qingdao,49552.42,37415.08,17498.99,0.4677,4624.95,7098,0.0302,1.8816,166.84,3.86
2026-02-01,S020,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Shanghai,109023.09,77738.61,29416.26,0.3784,11139.17,7059,0.0516,1.6781,171.29,3.67
2026-02-01,S021,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,Central China,Changsha,59750.1,48872.03,14396.48,0.2946,5617.17,6914,0.0447,1.4842,148.88,2.46
2026-02-01,S022,Himaxx Warehouse Outlet,Mall Warehouse,South China,Xiamen,50988.58,30056.01,12230.94,0.4069,2721.33,6572,0.0295,1.658,146.49,3.09
2026-02-01,S023,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,66444.03,55966.99,26546.53,0.4743,6605.41,7141,0.0356,1.494,192.8,1.64
2026-02-01,S024,Himaxx Warehouse Outlet,Mall Warehouse,West China,Chongqing,53548.86,33230.37,11920.46,0.3587,1922.66,6094,0.025,1.526,180.89,2.77
2026-02-01,S025,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Hangzhou,80446.85,53469.18,20174.98,0.3773,4389.23,7661,0.0419,1.5104,165.86,1.84
2026-02-01,S026,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Beijing,103064.54,66429.07,28298.17,0.426,8309.68,7004,0.0447,1.618,184.5,3.72
2026-02-01,S027,Himaxx Warehouse Outlet,Shopping Center Warehouse,West China,Chengdu,29189.16,18070.7,7441.99,0.4118,871.99,5712,0.025,1.442,188.67,3.23
2026-02-01,S028,Himaxx Warehouse Outlet,Warehouse Outlet,West China,Chongqing,60245.51,43368.29,16795.29,0.3873,3172.57,6846,0.0265,1.6654,198.48,1.83
2026-02-01,S029,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Suzhou,72806.89,52931.24,21486.12,0.4059,4117.48,6828,0.0291,1.7161,176.15,4.12
2026-02-01,S030,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,49379.14,33721.48,15047.13,0.4462,2396.07,6558,0.0318,1.6032,164.36,2.07
2026-02-01,S031,Himaxx Warehouse Outlet,Warehouse Outlet,West China,Xi'an,52619.28,35523.45,13053.61,0.3675,3199.61,6952,0.025,1.6645,189.3,4.36
2026-02-01,S032,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Wuhan,84734.98,64778.32,27866.88,0.4302,5412.17,7386,0.0377,1.7964,197.49,2.5
2026-02-01,S033,Himaxx Warehouse Outlet,Mall Warehouse,West China,Chongqing,60921.71,41619.68,15331.38,0.3684,4155.88,8281,0.0259,1.9331,187.9,4.04
2026-02-01,S034,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,91873.19,71389.38,30896.53,0.4328,6949.02,7561,0.0472,1.6878,204.34,3.27
2026-02-01,S035,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,West China,Chongqing,53124.57,29761.53,8663.21,0.2911,1017.17,6760,0.0261,1.7,155.11,2.57
2026-02-01,S036,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Nanjing,63243.56,59199.0,22568.64,0.3812,4367.82,7132,0.0365,1.4102,180.73,4.3
2026-02-01,S037,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,46088.79,31043.93,12045.13,0.388,1848.74,6963,0.025,1.5314,166.95,2.49
2026-02-01,S038,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Qingdao,87259.86,53080.87,26246.82,0.4945,6013.38,6754,0.0408,1.4101,178.02,3.31
2026-02-01,S039,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,South China,Shenzhen,63072.69,49983.12,13379.9,0.2677,5226.17,8683,0.0401,1.8015,143.44,3.37
2026-02-01,S040,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Xiamen,81230.83,66242.68,22347.44,0.3374,7092.29,8293,0.0425,1.5617,177.12,3.49
2026-02-01,S041,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Shanghai,42106.37,25298.95,10237.46,0.4047,2859.3,5900,0.025,1.6179,155.47,2.39
2026-02-01,S042,Himaxx Warehouse Outlet,Community Warehouse,East China,Shanghai,95821.99,66251.11,22199.34,0.3351,10937.56,8681,0.0394,1.6992,161.46,3.53
2026-02-01,S043,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Hangzhou,64340.55,54611.49,22085.6,0.4044,6700.62,5693,0.0454,1.5687,149.93,1.88
2026-02-01,S044,Himaxx Warehouse Outlet,Community Warehouse,Central China,Changsha,78394.52,59334.45,24265.62,0.409,11652.36,7464,0.0423,1.7967,168.38,4.27
2026-02-01,S045,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,76581.92,53263.62,20710.54,0.3888,6532.82,6387,0.0324,1.7059,176.65,1.65
2026-02-01,S046,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Shanghai,73665.23,51692.07,24015.68,0.4646,4817.6,8255,0.0372,1.481,177.11,4.16
2026-02-01,S047,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Xiamen,81185.15,58186.16,21023.23,0.3613,8213.1,7723,0.0391,1.732,170.14,2.89
2026-02-01,S048,Himaxx Warehouse Outlet,Mall Warehouse,West China,Chongqing,61632.13,33875.45,15149.84,0.4472,3341.03,7900,0.0367,1.6549,157.28,3.89
2026-02-01,S049,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,77806.36,66058.73,26322.39,0.3985,6915.1,6579,0.0508,1.6301,153.79,2.77
2026-02-01,S050,Himaxx Warehouse Outlet,Community Warehouse,East China,Suzhou,52001.35,41519.97,17605.81,0.424,3056.26,5786,0.0332,1.5274,179.51,2.64
2026-02-01,S051,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Qingdao,76788.19,59585.97,24627.44,0.4133,8484.85,7454,0.0318,1.7571,187.44,3.84
2026-02-01,S052,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Shanghai,62809.66,50484.07,21765.94,0.4311,7562.66,6296,0.0316,1.5969,173.99,2.77
2026-02-01,S053,Himaxx Warehouse Outlet,Warehouse Outlet,West China,Chongqing,104056.3,66110.0,25161.78,0.3806,8920.91,8431,0.0436,1.5369,196.78,2.93
2026-02-01,S054,Himaxx Warehouse Outlet,Community Warehouse,North China,Tianjin,99523.37,77456.56,29808.57,0.3848,13850.74,5951,0.0502,1.7036,179.9,3.67
2026-02-01,S055,Himaxx Warehouse Outlet,Mall Warehouse,South China,Xiamen,84037.87,69542.61,33111.09,0.4761,9284.1,9305,0.0419,1.7241,162.13,3.45
2026-02-01,S056,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Nanjing,69956.57,57000.68,19298.03,0.3386,6831.12,6442,0.0376,1.6779,151.56,4.19
2026-02-01,S057,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Shanghai,70641.48,52323.16,22329.84,0.4268,5884.67,8034,0.0331,1.6735,163.88,2.06
2026-02-01,S058,Himaxx Warehouse Outlet,Shopping Center Warehouse,South China,Xiamen,52274.31,35669.48,16666.25,0.4672,3194.18,5916,0.0275,1.6805,171.98,2.62
2026-02-01,S059,Himaxx Warehouse Outlet,Mall Warehouse,East China,Suzhou,43855.15,28565.47,11407.3,0.3993,2323.89,5739,0.025,1.7595,160.02,2.64
2026-02-01,S060,Himaxx Warehouse Outlet,Mall Warehouse,West China,Xi'an,83085.44,58373.91,26023.87,0.4458,9241.02,8474,0.0427,1.6559,177.65,2.01
2026-02-01,S061,Himaxx Warehouse Outlet,Community Warehouse,South China,Xiamen,39887.3,26476.29,10267.17,0.3878,2247.8,7365,0.025,1.7015,185.3,2.69
2026-02-01,S062,Himaxx Warehouse Outlet,Community Warehouse,West China,Xi'an,86058.36,60933.13,22673.49,0.3721,7852.8,7263,0.0375,1.69,169.18,1.55
2026-02-01,S063,Himaxx Warehouse Outlet,Mall Warehouse,East China,Nanjing,34575.54,21131.11,8027.04,0.3799,1614.13,7046,0.025,1.5059,165.47,3.93
2026-02-01,S064,Himaxx Warehouse Outlet,Shopping Center Warehouse,South China,Guangzhou,95290.06,79939.3,35872.82,0.4488,11394.83,7783,0.0401,1.759,184.66,2.39
2026-02-01,S065,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,67119.54,47929.51,20597.83,0.4298,7804.58,7690,0.0359,1.7351,191.21,3.28
2026-02-01,S066,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,44580.52,28833.36,11848.59,0.4109,2764.09,6438,0.025,1.4961,196.69,2.93
2026-02-01,S067,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Beijing,84704.22,56431.06,26621.01,0.4717,6538.21,8202,0.0396,1.6659,179.77,2.6
2026-02-01,S068,Himaxx Warehouse Outlet,Mall Warehouse,East China,Suzhou,84821.53,51153.98,21915.0,0.4284,7894.77,7071,0.0342,1.6399,195.92,2.3
2026-02-01,S069,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,53674.29,37326.38,15888.57,0.4257,5266.3,6842,0.0348,1.7029,157.92,3.03
2026-02-01,S070,Himaxx Warehouse Outlet,Shopping Center Warehouse,Central China,Changsha,36923.74,25131.34,10064.27,0.4005,1112.99,6461,0.025,1.8736,176.4,3.3
2026-02-01,S071,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Qingdao,63821.01,43167.73,16774.9,0.3886,5757.94,8590,0.0356,1.666,191.03,3.92
2026-02-01,S072,Himaxx Warehouse Outlet,Community Warehouse,Central China,Changsha,49332.93,30513.82,12265.91,0.402,2999.67,8126,0.025,1.6694,185.95,3.96
2026-02-01,S073,Himaxx Warehouse Outlet,Mall Warehouse,North China,Tianjin,95063.45,59880.71,21982.02,0.3671,11660.23,7587,0.0426,1.5954,190.64,3.14
2026-02-01,S074,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Tianjin,101052.29,79866.95,30689.94,0.3843,11537.99,6824,0.059,1.6124,166.42,1.54
2026-02-01,S075,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,74287.95,46149.31,19819.33,0.4295,6447.34,7657,0.0376,1.6915,184.99,4.25
2026-02-01,S076,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Nanjing,57812.54,35937.9,13805.42,0.3841,2183.73,7281,0.025,1.7774,159.65,1.88
2026-03-01,S001,Himaxx Warehouse Outlet,Mall Warehouse,North China,Beijing,112349.49,98191.55,41095.86,0.4185,17850.24,8314,0.0601,1.7057,176.15,2.98
