date,store_id,channel,store_format,region,city,traffic,member_uv,new_member_uv,returning_member_uv,assisted_visits,try_on_count,orders,buyers,gross_units,gmv,recognized_revenue,traffic_to_order_cvr,member_cvr,try_on_cvr,upt,aur
2026-01-01,S015,Himaxx Warehouse Outlet,Mall Warehouse,East China,Hangzhou,191,75,18,57,79,25,11,11,17,3107.96,2324.48,0.0576,0.1467,0.44,1.5455,182.82
2026-01-01,S016,Himaxx Warehouse Outlet,Shopping Center Warehouse,West China,Chengdu,156,91,28,63,93,36,15,15,20,3478.42,2024.19,0.0962,0.1648,0.4167,1.3333,173.92
2026-01-01,S017,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Hangzhou,219,113,14,99,62,32,8,8,11,1633.77,1240.51,0.0365,0.0708,0.25,1.375,148.52
2026-01-01,S018,Himaxx Warehouse Outlet,Mall Warehouse,West China,Xi'an,258,136,20,116,160,87,9,9,12,2260.95,1879.86,0.0349,0.0662,0.1034,1.3333,188.41
2026-01-01,S019,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Qingdao,193,90,10,80,85,31,8,8,10,2451.38,1465.76,0.0415,0.0889,0.2581,1.25,245.14
2026-01-01,S020,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Shanghai,150,61,12,49,86,24,12,12,17,3376.34,2671.18,0.08,0.1967,0.5,1.4167,198.61
2026-01-01,S021,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,Central China,Changsha,161,87,24,63,54,29,11,11,15,2420.14,1895.62,0.0683,0.1264,0.3793,1.3636,161.34
2026-01-01,S022,Himaxx Warehouse Outlet,Mall Warehouse,South China,Xiamen,221,115,13,102,80,35,16,16,19,2687.32,1531.19,0.0724,0.1391,0.4571,1.1875,141.44
2026-01-01,S023,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,213,72,18,54,59,29,11,11,19,3485.29,2725.35,0.0516,0.1528,0.3793,1.7273,183.44
2026-01-01,S024,Himaxx Warehouse Outlet,Mall Warehouse,West China,Chongqing,118,67,13,54,32,15,3,3,5,404.56,404.56,0.0254,0.0448,0.2,1.6667,80.91
2026-01-01,S025,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Hangzhou,230,92,28,64,90,19,16,16,35,5454.89,3072.01,0.0696,0.1739,0.8421,2.1875,155.85
2026-01-01,S026,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Beijing,344,125,22,103,107,35,9,9,14,2405.4,1979.22,0.0262,0.072,0.2571,1.5556,171.81
2026-01-01,S027,Himaxx Warehouse Outlet,Shopping Center Warehouse,West China,Chengdu,121,62,16,46,65,29,7,7,10,2481.45,1592.11,0.0579,0.1129,0.2414,1.4286,248.14
2026-01-01,S028,Himaxx Warehouse Outlet,Warehouse Outlet,West China,Chongqing,266,116,38,78,164,46,7,7,10,2034.71,1973.55,0.0263,0.0603,0.1522,1.4286,203.47
2026-01-01,S029,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Suzhou,193,117,21,96,62,17,11,11,22,3598.37,2488.53,0.057,0.094,0.6471,2.0,163.56
2026-01-01,S030,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,286,154,42,112,100,32,11,11,16,3303.33,2389.91,0.0385,0.0714,0.3438,1.4545,206.46
2026-01-01,S031,Himaxx Warehouse Outlet,Warehouse Outlet,West China,Xi'an,388,150,20,130,122,54,4,4,6,592.99,188.82,0.0103,0.0267,0.0741,1.5,98.83
2026-01-01,S032,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Wuhan,271,169,23,146,159,76,14,14,18,3179.81,2072.7,0.0517,0.0828,0.1842,1.2857,176.66
2026-01-01,S033,Himaxx Warehouse Outlet,Mall Warehouse,West China,Chongqing,165,100,33,67,58,27,7,7,9,1413.03,1090.11,0.0424,0.07,0.2593,1.2857,157.0
2026-01-01,S034,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,395,156,37,119,255,63,12,12,15,2138.6,1633.66,0.0304,0.0769,0.1905,1.25,142.57
2026-01-01,S035,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,West China,Chongqing,278,136,17,119,148,69,9,9,18,3754.37,3451.17,0.0324,0.0662,0.1304,2.0,208.58
2026-01-01,S036,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Nanjing,257,157,39,118,71,25,12,12,14,2636.71,2470.31,0.0467,0.0764,0.48,1.1667,188.34
2026-01-01,S037,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,130,64,20,44,59,31,6,6,9,1039.83,799.78,0.0462,0.0938,0.1935,1.5,115.54
2026-01-01,S038,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Qingdao,332,118,28,90,194,89,20,19,27,4649.75,3563.58,0.0602,0.161,0.2247,1.35,172.21
2026-01-01,S039,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,South China,Shenzhen,341,179,18,161,105,32,11,11,17,2319.18,1702.81,0.0323,0.0615,0.3438,1.5455,136.42
2026-01-01,S040,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Xiamen,337,128,34,94,129,63,17,17,24,3989.28,2630.64,0.0504,0.1328,0.2698,1.4118,166.22
2026-01-01,S041,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Shanghai,273,164,17,147,88,46,12,12,19,3773.08,2781.46,0.044,0.0732,0.2609,1.5833,198.58
2026-01-01,S042,Himaxx Warehouse Outlet,Community Warehouse,East China,Shanghai,106,63,10,53,60,21,11,11,23,3680.13,2702.62,0.1038,0.1746,0.5238,2.0909,160.01
2026-01-01,S043,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Hangzhou,206,125,28,97,103,21,9,8,13,2067.74,1274.63,0.0437,0.064,0.4286,1.4444,159.06
2026-01-01,S044,Himaxx Warehouse Outlet,Community Warehouse,Central China,Changsha,355,200,65,135,202,96,12,12,19,3225.74,2615.37,0.0338,0.06,0.125,1.5833,169.78
2026-01-01,S045,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,158,75,13,62,76,40,15,15,24,4186.9,2917.6,0.0949,0.2,0.375,1.6,174.45
2026-01-01,S046,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Shanghai,96,29,3,26,49,14,11,11,24,4100.94,3254.0,0.1146,0.3793,0.7857,2.1818,170.87
2026-01-01,S047,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Xiamen,333,150,34,116,106,57,9,9,16,5607.58,3262.92,0.027,0.06,0.1579,1.7778,350.47
2026-01-01,S048,Himaxx Warehouse Outlet,Mall Warehouse,West China,Chongqing,158,88,22,66,86,26,3,3,5,671.39,671.39,0.019,0.0341,0.1154,1.6667,134.28
2026-01-01,S049,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,181,88,13,75,107,49,10,10,16,1970.13,923.35,0.0552,0.1136,0.2041,1.6,123.13
2026-01-01,S050,Himaxx Warehouse Outlet,Community Warehouse,East China,Suzhou,301,114,39,75,159,47,4,4,4,849.79,300.59,0.0133,0.0351,0.0851,1.0,212.45
2026-01-01,S051,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Qingdao,309,198,36,162,77,39,8,8,11,1437.98,1019.9,0.0259,0.0404,0.2051,1.375,130.73
2026-01-01,S052,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Shanghai,293,169,20,149,98,22,10,10,19,2526.18,2139.56,0.0341,0.0592,0.4545,1.9,132.96
2026-01-01,S053,Himaxx Warehouse Outlet,Warehouse Outlet,West China,Chongqing,114,38,5,33,34,17,15,15,24,4286.78,3621.42,0.1316,0.3947,0.8824,1.6,178.62
2026-01-01,S054,Himaxx Warehouse Outlet,Community Warehouse,North China,Tianjin,260,156,23,133,117,35,12,12,21,3333.07,2484.78,0.0462,0.0769,0.3429,1.75,158.72
2026-01-01,S055,Himaxx Warehouse Outlet,Mall Warehouse,South China,Xiamen,235,133,40,93,93,28,13,13,18,3251.14,2927.25,0.0553,0.0977,0.4643,1.3846,180.62
2026-01-01,S056,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Nanjing,104,47,6,41,58,24,11,11,19,2344.84,1481.24,0.1058,0.234,0.4583,1.7273,123.41
2026-01-01,S057,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Shanghai,298,146,46,100,158,81,6,6,8,1725.19,1202.01,0.0201,0.0411,0.0741,1.3333,215.65
2026-01-01,S058,Himaxx Warehouse Outlet,Shopping Center Warehouse,South China,Xiamen,188,90,31,59,97,50,8,8,18,3711.15,3623.84,0.0426,0.0889,0.16,2.25,206.18
2026-01-01,S059,Himaxx Warehouse Outlet,Mall Warehouse,East China,Suzhou,204,127,29,98,105,54,4,4,4,606.86,411.22,0.0196,0.0315,0.0741,1.0,151.72
2026-01-01,S060,Himaxx Warehouse Outlet,Mall Warehouse,West China,Xi'an,251,139,40,99,122,43,15,15,20,4106.09,3149.63,0.0598,0.1079,0.3488,1.3333,205.3
2026-01-01,S061,Himaxx Warehouse Outlet,Community Warehouse,South China,Xiamen,162,55,8,47,40,19,3,3,7,3000.99,2429.37,0.0185,0.0545,0.1579,2.3333,428.71
2026-01-01,S062,Himaxx Warehouse Outlet,Community Warehouse,West China,Xi'an,388,184,19,165,204,53,12,12,21,3664.12,3474.28,0.0309,0.0652,0.2264,1.75,174.48
2026-01-01,S063,Himaxx Warehouse Outlet,Mall Warehouse,East China,Nanjing,241,142,47,95,98,24,4,4,8,790.68,629.28,0.0166,0.0282,0.1667,2.0,98.84
2026-01-01,S064,Himaxx Warehouse Outlet,Shopping Center Warehouse,South China,Guangzhou,327,196,54,142,207,51,11,11,23,5734.03,5008.89,0.0336,0.0561,0.2157,2.0909,249.31
2026-01-01,S065,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,379,167,46,121,190,64,6,6,7,667.86,439.46,0.0158,0.0359,0.0938,1.1667,95.41
2026-01-01,S066,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,266,153,45,108,116,54,8,8,12,2577.51,1744.8,0.0301,0.0523,0.1481,1.5,214.79
2026-01-01,S067,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Beijing,355,147,23,124,183,58,7,7,9,1981.12,1455.73,0.0197,0.0476,0.1207,1.2857,220.12
2026-01-01,S068,Himaxx Warehouse Outlet,Mall Warehouse,East China,Suzhou,364,235,27,208,104,55,13,13,23,3890.9,3215.73,0.0357,0.0553,0.2364,1.7692,169.17
2026-01-01,S069,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,187,111,34,77,84,18,12,12,17,3165.82,2038.19,0.0642,0.1081,0.6667,1.4167,186.22
2026-01-01,S070,Himaxx Warehouse Outlet,Shopping Center Warehouse,Central China,Changsha,390,178,33,145,166,47,7,7,11,3019.47,1538.78,0.0179,0.0393,0.1489,1.5714,274.5
2026-01-01,S071,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Qingdao,155,81,10,71,73,24,7,7,14,1909.87,1567.47,0.0452,0.0864,0.2917,2.0,136.42
2026-01-01,S072,Himaxx Warehouse Outlet,Community Warehouse,Central China,Changsha,386,137,36,101,111,41,7,7,12,1779.46,860.42,0.0181,0.0511,0.1707,1.7143,148.29
2026-01-01,S073,Himaxx Warehouse Outlet,Mall Warehouse,North China,Tianjin,140,76,19,57,67,21,9,9,14,3081.2,2416.89,0.0643,0.1184,0.4286,1.5556,220.09
2026-01-01,S074,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Tianjin,126,65,10,55,67,21,10,10,17,4581.13,4010.99,0.0794,0.1538,0.4762,1.7,269.48
2026-01-01,S075,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,400,133,45,88,230,95,11,11,16,2680.03,1998.62,0.0275,0.0827,0.1158,1.4545,167.5
2026-01-01,S076,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Nanjing,372,227,32,195,171,80,10,10,20,4615.24,2964.71,0.0269,0.0441,0.125,2.0,230.76
2026-01-02,S001,Himaxx Warehouse Outlet,Mall Warehouse,North China,Beijing,159,68,15,53,100,42,9,9,13,2254.67,921.19,0.0566,0.1324,0.2143,1.4444,173.44
2026-01-02,S002,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Nanjing,177,91,27,64,107,47,7,7,11,3146.45,1384.48,0.0395,0.0769,0.1489,1.5714,286.04
2026-01-02,S003,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,122,46,10,36,48,16,8,8,11,2188.83,1785.27,0.0656,0.1739,0.5,1.375,198.98
2026-01-02,S004,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,South China,Xiamen,134,56,12,44,54,12,12,12,14,2174.15,1404.14,0.0896,0.2143,1.0,1.1667,155.3
2026-01-02,S005,Himaxx Warehouse Outlet,Shopping Center Warehouse,Central China,Changsha,362,138,34,104,189,44,4,4,6,724.49,271.88,0.011,0.029,0.0909,1.5,120.75
2026-01-02,S006,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Qingdao,87,50,6,44,54,17,6,6,7,1264.84,1175.02,0.069,0.12,0.3529,1.1667,180.69
2026-01-02,S007,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Wuhan,245,108,13,95,133,65,14,14,27,4535.8,2845.44,0.0571,0.1296,0.2154,1.9286,167.99
2026-01-02,S008,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,222,82,28,54,59,29,14,14,27,3982.68,3588.28,0.0631,0.1707,0.4828,1.9286,147.51
2026-01-02,S009,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,171,86,22,64,53,26,12,12,24,5496.04,4433.79,0.0702,0.1395,0.4615,2.0,229.0
2026-01-02,S010,Himaxx Warehouse Outlet,Community Warehouse,Central China,Changsha,406,263,34,229,214,70,7,7,8,1244.87,844.39,0.0172,0.0266,0.1,1.1429,155.61
2026-01-02,S011,Himaxx Warehouse Outlet,Community Warehouse,West China,Chengdu,172,52,16,36,104,36,5,5,8,1319.11,1319.11,0.0291,0.0962,0.1389,1.6,164.89
2026-01-02,S012,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,125,71,7,64,64,24,12,12,14,2604.62,2018.62,0.096,0.169,0.5,1.1667,186.04
2026-01-02,S013,Himaxx Warehouse Outlet,Community Warehouse,South China,Shenzhen,235,131,26,105,80,40,15,14,25,3764.16,3165.21,0.0638,0.1069,0.375,1.6667,150.57
2026-01-02,S014,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,369,124,31,93,213,75,6,5,10,1185.6,683.91,0.0163,0.0403,0.08,1.6667,118.56
2026-01-02,S015,Himaxx Warehouse Outlet,Mall Warehouse,East China,Hangzhou,147,70,13,57,56,29,9,9,10,2409.47,2346.59,0.0612,0.1286,0.3103,1.1111,240.95
2026-01-02,S016,Himaxx Warehouse Outlet,Shopping Center Warehouse,West China,Chengdu,283,88,30,58,72,30,14,14,21,3852.94,3141.24,0.0495,0.1591,0.4667,1.5,183.47
2026-01-02,S017,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Hangzhou,323,126,19,107,87,37,6,6,8,1349.77,1046.34,0.0186,0.0476,0.1622,1.3333,168.72
2026-01-02,S018,Himaxx Warehouse Outlet,Mall Warehouse,West China,Xi'an,187,81,11,70,69,24,12,12,18,3401.47,2646.92,0.0642,0.1481,0.5,1.5,188.97
2026-01-02,S019,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Qingdao,216,133,23,110,102,28,4,4,5,732.28,264.44,0.0185,0.0301,0.1429,1.25,146.46
2026-01-02,S020,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Shanghai,359,111,12,99,218,61,15,15,29,6010.02,4636.44,0.0418,0.1351,0.2459,1.9333,207.24
2026-01-02,S021,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,Central China,Changsha,244,122,22,100,138,30,7,7,16,2527.43,2255.93,0.0287,0.0574,0.2333,2.2857,157.96
2026-01-02,S022,Himaxx Warehouse Outlet,Mall Warehouse,South China,Xiamen,282,179,20,159,87,28,3,3,4,582.4,582.4,0.0106,0.0168,0.1071,1.3333,145.6
2026-01-02,S023,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Changsha,211,70,19,51,89,36,9,9,11,1875.32,1031.61,0.0427,0.1286,0.25,1.2222,170.48
2026-01-02,S024,Himaxx Warehouse Outlet,Mall Warehouse,West China,Chongqing,382,168,43,125,195,53,7,7,11,1444.27,603.86,0.0183,0.0417,0.1321,1.5714,131.3
2026-01-02,S025,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Hangzhou,260,87,11,76,135,39,10,10,13,1817.33,1406.79,0.0385,0.1149,0.2564,1.3,139.79
2026-01-02,S026,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Beijing,302,119,30,89,143,69,7,6,12,2301.49,2028.87,0.0232,0.0504,0.1014,1.7143,191.79
2026-01-02,S027,Himaxx Warehouse Outlet,Shopping Center Warehouse,West China,Chengdu,372,196,58,138,238,90,4,4,6,581.18,505.15,0.0108,0.0204,0.0444,1.5,96.86
2026-01-02,S028,Himaxx Warehouse Outlet,Warehouse Outlet,West China,Chongqing,335,105,32,73,203,53,7,6,9,1362.63,1045.7,0.0209,0.0571,0.1321,1.2857,151.4
2026-01-02,S029,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Suzhou,382,228,67,161,148,42,10,10,16,2299.27,1072.29,0.0262,0.0439,0.2381,1.6,143.7
2026-01-02,S030,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,193,80,24,56,58,28,5,5,8,451.26,271.85,0.0259,0.0625,0.1786,1.6,56.41
2026-01-02,S031,Himaxx Warehouse Outlet,Warehouse Outlet,West China,Xi'an,298,176,30,146,115,61,8,8,15,3213.5,1698.58,0.0268,0.0455,0.1311,1.875,214.23
2026-01-02,S032,Himaxx Warehouse Outlet,Mall Warehouse,Central China,Wuhan,227,147,19,128,93,43,8,8,9,1814.12,1402.41,0.0352,0.0544,0.186,1.125,201.57
2026-01-02,S033,Himaxx Warehouse Outlet,Mall Warehouse,West China,Chongqing,308,178,22,156,117,41,4,4,5,880.07,352.01,0.013,0.0225,0.0976,1.25,176.01
2026-01-02,S034,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,322,134,43,91,185,57,8,8,15,1961.87,1091.91,0.0248,0.0597,0.1404,1.875,130.79
2026-01-02,S035,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,West China,Chongqing,336,189,42,147,100,54,5,5,7,1191.26,628.04,0.0149,0.0265,0.0926,1.4,170.18
2026-01-02,S036,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Nanjing,337,154,37,117,89,32,8,8,20,3517.95,2618.53,0.0237,0.0519,0.25,2.5,175.9
2026-01-02,S037,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,321,145,39,106,81,30,6,6,7,1311.74,1232.83,0.0187,0.0414,0.2,1.1667,187.39
2026-01-02,S038,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Qingdao,385,195,45,150,138,68,15,15,25,4013.08,2442.78,0.039,0.0769,0.2206,1.6667,160.52
2026-01-02,S039,Himaxx Warehouse Outlet,Pop-up Clearance Warehouse,South China,Shenzhen,287,141,36,105,107,52,16,16,27,3444.91,2747.39,0.0557,0.1135,0.3077,1.6875,127.59
2026-01-02,S040,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Xiamen,266,119,29,90,91,43,16,16,21,4689.13,3730.93,0.0602,0.1345,0.3721,1.3125,223.29
2026-01-02,S041,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Shanghai,333,184,31,153,95,49,7,7,12,1971.86,1728.33,0.021,0.038,0.1429,1.7143,164.32
2026-01-02,S042,Himaxx Warehouse Outlet,Community Warehouse,East China,Shanghai,396,146,46,100,121,40,5,5,10,1477.92,1165.69,0.0126,0.0342,0.125,2.0,147.79
2026-01-02,S043,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Hangzhou,240,76,16,60,127,33,9,9,17,2700.11,2058.01,0.0375,0.1184,0.2727,1.8889,158.83
2026-01-02,S044,Himaxx Warehouse Outlet,Community Warehouse,Central China,Changsha,253,109,35,74,111,29,13,13,24,4768.4,3437.64,0.0514,0.1193,0.4483,1.8462,198.68
2026-01-02,S045,Himaxx Warehouse Outlet,Warehouse Outlet,North China,Beijing,173,58,14,44,95,35,12,12,20,4357.36,3031.59,0.0694,0.2069,0.3429,1.6667,217.87
2026-01-02,S046,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Shanghai,367,188,25,163,106,43,11,11,21,3190.45,2484.95,0.03,0.0585,0.2558,1.9091,151.93
2026-01-02,S047,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Xiamen,197,73,9,64,102,38,8,7,10,1384.76,737.02,0.0406,0.0959,0.2105,1.25,138.48
2026-01-02,S048,Himaxx Warehouse Outlet,Mall Warehouse,West China,Chongqing,334,103,33,70,143,45,7,7,11,1469.99,1243.28,0.021,0.068,0.1556,1.5714,133.64
2026-01-02,S049,Himaxx Warehouse Outlet,Warehouse Outlet,South China,Shenzhen,161,65,9,56,68,17,14,14,23,6583.57,5962.0,0.087,0.2154,0.8235,1.6429,286.24
2026-01-02,S050,Himaxx Warehouse Outlet,Community Warehouse,East China,Suzhou,183,87,30,57,52,20,7,7,13,2046.23,1725.68,0.0383,0.0805,0.35,1.8571,157.4
2026-01-02,S051,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Qingdao,389,138,43,95,234,84,9,9,18,4603.95,3454.08,0.0231,0.0652,0.1071,2.0,255.77
2026-01-02,S052,Himaxx Warehouse Outlet,Shopping Center Warehouse,East China,Shanghai,287,148,49,99,153,72,4,4,9,1482.59,366.29,0.0139,0.027,0.0556,2.25,164.73
2026-01-02,S053,Himaxx Warehouse Outlet,Warehouse Outlet,West China,Chongqing,322,155,15,140,134,32,5,5,7,906.69,596.25,0.0155,0.0323,0.1562,1.4,129.53
2026-01-02,S054,Himaxx Warehouse Outlet,Community Warehouse,North China,Tianjin,188,91,31,60,89,24,15,14,25,4785.26,3804.7,0.0798,0.1538,0.625,1.6667,191.41
2026-01-02,S055,Himaxx Warehouse Outlet,Mall Warehouse,South China,Xiamen,250,134,22,112,159,83,13,12,24,5617.33,4252.43,0.052,0.0896,0.1566,1.8462,234.06
2026-01-02,S056,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Nanjing,130,41,4,37,84,19,12,12,16,2051.35,1748.42,0.0923,0.2927,0.6316,1.3333,128.21
2026-01-02,S057,Himaxx Warehouse Outlet,Warehouse Outlet,East China,Shanghai,324,173,47,126,164,47,10,10,14,3227.3,2391.46,0.0309,0.0578,0.2128,1.4,230.52
2026-01-02,S058,Himaxx Warehouse Outlet,Shopping Center Warehouse,South China,Xiamen,102,36,7,29,35,16,6,6,12,2107.98,1189.52,0.0588,0.1667,0.375,2.0,175.66
2026-01-02,S059,Himaxx Warehouse Outlet,Mall Warehouse,East China,Suzhou,387,135,36,99,208,107,4,4,4,494.57,472.4,0.0103,0.0296,0.0374,1.0,123.64
2026-01-02,S060,Himaxx Warehouse Outlet,Mall Warehouse,West China,Xi'an,171,98,21,77,42,12,15,15,21,3194.51,1975.45,0.0877,0.1531,1.25,1.4,152.12
2026-01-02,S061,Himaxx Warehouse Outlet,Community Warehouse,South China,Xiamen,230,120,41,79,73,31,7,7,9,1867.35,1721.92,0.0304,0.0583,0.2258,1.2857,207.48
2026-01-02,S062,Himaxx Warehouse Outlet,Community Warehouse,West China,Xi'an,300,148,43,105,88,28,8,8,16,3498.21,1491.59,0.0267,0.0541,0.2857,2.0,218.64
2026-01-02,S063,Himaxx Warehouse Outlet,Mall Warehouse,East China,Nanjing,218,138,43,95,56,26,3,3,5,1317.08,960.56,0.0138,0.0217,0.1154,1.6667,263.42
2026-01-02,S064,Himaxx Warehouse Outlet,Shopping Center Warehouse,South China,Guangzhou,382,171,40,131,142,46,10,10,15,2292.8,1349.28,0.0262,0.0585,0.2174,1.5,152.85
2026-01-02,S065,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,273,157,18,139,156,47,4,4,9,1419.05,1419.05,0.0147,0.0255,0.0851,2.25,157.67
2026-01-02,S066,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Tianjin,229,72,20,52,65,32,8,8,12,1973.46,1973.46,0.0349,0.1111,0.25,1.5,164.46
2026-01-02,S067,Himaxx Warehouse Outlet,Shopping Center Warehouse,North China,Beijing,298,138,34,104,140,41,2,2,2,413.56,413.56,0.0067,0.0145,0.0488,1.0,206.78
2026-01-02,S068,Himaxx Warehouse Outlet,Mall Warehouse,East China,Suzhou,348,107,22,85,122,38,12,12,21,2830.12,1338.66,0.0345,0.1121,0.3158,1.75,134.77
