门店序号,门店分类,门店级别,门店名称,开业日期,盈亏平衡点,爆破门店品牌,年目标GMV,年实际GMV,同期年GMV,月目标GMV,月目标客流量,月目标交易人数,月目标转化率,月目标客单价,月实际GMV,月实际客流量,月实际新客流量,月实际转化率,月实际交易人数,月实际客单价,同期月GMV,同期月客流量,同期月新客流量,同期月转化率,同期月成交人数,同期月客单价,月GMV同比,月客流量同比,月转化率同比,月客单同比
14,老店,A,大场超级仓,2022-11-30,424.626961,斯凯奇,78000000,18408675.11,28699697.82,5500000,20660,14460,0.699903195,380.3596127,3920105.79,11252,1296,0.71231781,8015,489.096169,6204787.31,16708,2617,0.709600192,11856,523.345759,-0.368212705,-0.326550156,0.003829788,-0.065443523
15,老店,A+,苏州相城仓,2023-04-15,271.9496756,,100000000,19404003.47,28207824.68,6000000,25979,14290,0.550059664,419.8740378,3926047.3,15041,1774,0.644039625,9687,405.290317,6209082.34,20196,4077,0.680778372,13749,451.602469,-0.367692827,-0.255248564,-0.053965796,-0.102550706
16,老店,A,美兰湖仓,2023-09-09,269.4281581,斯凯奇,71000000,18038754.87,20752729.23,5500000,26996,14852,0.550155579,370.3204956,3994447.58,17317,1813,0.576832015,9989,399.884632,4721419.47,21641,3732,0.542812255,11747,401.925553,-0.153973163,-0.199805924,0.062673162,-0.005077858
17,老店,A,江阴万达仓,2023-12-15,291.4679279,,70000000,19789845.35,18791685.37,4500000,20582,14073,0.683752794,319.7612449,3523454.82,12603,2000,0.769102595,9693,363.505089,3700772.06,15548,3044,0.654746591,10180,363.533602,-0.04791358,-0.189413429,0.17465689,-7.84329E-05
18,老店,A,南翔仓,2024-01-19,332.1049023,,78000000,21585780.32,20625240.26,5500000,22051,12789,0.579973697,430.0570803,4396216.37,17570,2289,0.591519636,10393,422.997823,4497068.79,18301,3198,0.581170428,10636,422.815795,-0.022426257,-0.039943173,0.017807527,0.000430514
19,老店,C,淮上万达仓,2024-04-12,211.312738,,31998419.47,8480323.52,9701010.89,2500000,14799,8067,0.545104399,309.9045494,1720504.24,10422,1896,0.546919977,5700,301.84285,2221155.29,12290,3506,0.587794955,7224,307.468894,-0.225401192,-0.151993491,-0.069539519,-0.018297929
20,老店,C,赣榆万达仓,2024-04-30,136.0339274,,20000000,5514899.81,6443770.6,1500000,8615,5165,0.599535694,290.4162633,983266.77,4386,1023,0.848153215,3720,264.319025,1261421.2,8452,2187,0.524254614,4431,284.68093,-0.220508764,-0.481069569,0.617826895,-0.071525356
21,老店,S,中星城仓,2024-05-24,723.2698405,海代,130000000,24988298.01,33038899.25,9500000,32118,16380,0.509994396,579.97558,5381269.41,17261,2976,0.596662998,10299,522.50407,8248063.6,23882,7306,0.601080312,14355,574.57775,-0.347571785,-0.277238087,-0.007348958,-0.090629475
22,老店,A,松江东鼎仓,2024-06-07,353.4793005,,75000000,19254647.82,20487853.34,5500000,24972,13286,0.53203588,413.9695921,4250220.85,19725,3835,0.542661597,10704,397.068466,4620843.94,21910,6125,0.530534003,11624,397.526148,-0.080206797,-0.099726152,0.022859221,-0.001151326
23,老店,S,沈阳仓,2024-08-16,0,,130000000,28862476.1,33559535.27,9200000,48412,24206,0.5,380.0710568,6165586.52,30725,7319,0.51170057,15722,392.16299,8122784.46,43578,21662,0.43822571,19097,425.343482,-0.240951603,-0.294942402,0.16766442,-0.0780087
24,老店,A+,闵行凯德中心,2024-08-23,453.9269088,斯凯奇,100000000,26492996.65,24993931.79,6500000,28666,15477,0.539907905,419.9780319,5276935.61,21707,2714,0.594094071,12896,409.191658,5173580.22,23776,4501,0.523132571,12438,415.949528,0.019977537,-0.087020525,0.135647261,-0.016246851
25,老店,B,苏州复悦城仓,2024-08-30,272.8225883,,49803266.94,13041630.13,17216085.19,4000000,19866,10530,0.530051344,379.8670465,2593234.9,14584,2237,0.554168952,8082,320.865492,3398779.72,17798,4327,0.527306439,9385,362.15021,-0.237010011,-0.180582088,0.050942889,-0.113998879
26,老店,A,无锡滨湖仓,2024-09-06,272.3322765,,70000000,12601815.43,15586489.64,3800000,12475,9565,0.766733467,397.2817564,2695659.11,9142,1426,0.727193174,6648,405.484223,3337270.19,10839,3502,0.680228803,7373,452.633961,-0.192256258,-0.156564259,0.06904202,-0.104167478
27,老店,B,松江新桥仓,2024-09-30,415.1891879,,45000001,10659076.37,13467702.2,3500000,16294,8966,0.550263901,390.3635958,2112845.29,10781,1265,0.565995733,6102,346.254555,2759263.6,12779,2443,0.558494405,7137,386.613928,-0.234272039,-0.156350262,0.01343134,-0.104391927
28,老店,A+,杨浦渔人码头仓,2024-09-30,340.8357448,斯凯奇,100000000,21869685.64,24879141.39,7000000,19889,13722,0.689929107,510.1297187,5322965.17,14779,3065,0.757426078,11194,475.51949,5636303.72,19757,6822,0.556714076,10999,512.437833,-0.055592914,-0.25196133,0.360529777,-0.07204453
29,老店,A,无锡梁溪仓,2024-11-22,437.9422583,自行,70000000,18177027.14,19048409.14,4500000,20352,12806,0.629225629,351.3977823,3776519.47,14264,2682,0.63173023,9011,419.10104,3971162.19,16635,5905,0.580643222,9659,411.135956,-0.049014044,-0.142530809,0.087983474,0.019373358
30,老店,A,徐州铜山仓,2024-11-29,352.0919776,自行,85000000,18131999.32,32633274.32,5000000,20909,11500,0.550002391,434.7826087,3877641.85,15635,3962,0.616885193,9645,402.036481,7324476.04,30952,17856,0.54600672,16900,433.40095,-0.47059123,-0.494863014,0.129812456,-0.072368252
31,老店,A+,南通崇川仓,2024-11-29,361.2206033,,100000000,24889338.59,26976297.11,6300000,18695,11776,0.629901043,534.986413,4567640.9,10998,2698,0.751045645,8260,552.98316,5712858.12,18184,10001,0.607787066,11052,516.907177,-0.200463095,-0.395182578,0.235705212,0.069791995
32,老店,A,长宁申亚仓,2024-12-27,486.3898492,,70000000,15216182.07,26373619.55,5100000,21281,11492,0.540012217,443.7869822,3345946.15,12172,2609,0.584702596,7117,470.134348,4561720.48,17851,6280,0.527981626,9425,484.002173,-0.266516621,-0.318133438,0.107429819,-0.028652402
33,次新店,S,苏州木渎仓,2025-01-17,665.21,海代,150000000,36435887.67,51819496.06,10000000,41802,21737,0.519999043,460.0450844,7555405.05,27712,5420,0.585883372,16236,465.34892,7873894.64,31192,11153,0.549115158,17128,459.708936,-0.0404488,-0.111567068,0.066959022,0.012268598
34,次新店,S,南京同曦仓,2025-01-18,578.5089043,,140000000,37530986.81,55196021.84,10000000,39248,20409,0.520001019,489.9799108,7773752.9,26254,5662,0.625314238,16417,473.518481,8894053.55,39570,17843,0.495274198,19598,453.824551,-0.125960637,-0.336517564,0.26256171,0.043395471
35,次新店,A,宿迁会展中心仓,2025-01-18,349.2502672,,70000000,18674550.83,27809758.45,5500000,18003,11703,0.650058324,469.9649662,3852557.34,11741,3270,0.734690401,8626,446.621533,4696416.72,16087,8130,0.634798284,10212,459.891963,-0.179681538,-0.270156027,0.157360408,-0.028855538
36,次新店,C,靖江仓,2025-01-22,310.4903244,,30000000,7668893.07,17829293.65,2000000,8545,6661,0.779520187,300.2552169,1268337.35,5640,929,0.680673759,3839,330.382222,2422948.72,9286,3480,0.771053198,7160,338.40066,-0.476531493,-0.392634073,-0.117215569,-0.023695102
37,次新店,A+,南京金源仓,2025-01-24,459.2204055,斯凯奇,120000000,31559243.16,45571652.1,9000000,30057,17437,0.580131084,516.1438321,7077072.98,20998,5047,0.652966949,13711,516.160235,9655756.17,32798,17059,0.576468077,18907,510.697423,-0.267061755,-0.359778035,0.132702703,0.010696768
38,次新店,A,闵行金悦乐坊仓,2025-01-24,372.0158728,,70000000,17009605.72,20209621.42,5000000,26310,13155,0.5,380.0836184,3591027.65,18565,2812,0.536116348,9953,360.798519,4370424.48,22786,7088,0.510357237,11629,375.821179,-0.178334355,-0.185245326,0.050472707,-0.039972894
39,次新店,C,崇明万达仓,2025-03-28,178.4738328,,25752443.12,7275819.89,8602828.08,2000000,14289,5713,0.399818042,350.0787677,1463567.25,8323,1390,0.516880932,4302,340.206242,4967494.97,38651,20926,0.382810277,14796,335.732291,-0.705371166,-0.784662751,0.350227421,0.013325948
40,次新店,A,无锡融创茂仓,2025-04-11,351.0547061,,70000000,17316165.51,11935411.36,4500000,20583,13385,0.650293932,336.1972357,3952262.08,14491,4202,0.668897937,9693,407.743948,11935411.36,57823,37522,0.455251371,26324,453.40417,-0.668862517,-0.749390381,0.469293625,-0.100705342
41,次新店,A,普陀文体仓,2025-04-11,404.5841067,,70000000,14642869.78,18889601.69,5000000,21142,11629,0.550042569,429.9595838,3598008.4,12408,2374,0.761847195,9453,380.620798,18889601.69,76850,42749,0.515393624,39608,476.913798,-0.80952439,-0.838542615,0.478185138,-0.201908606
42,次新店,S,昆山仓,2025-04-25,766.1237713,斯凯奇,200000000,38835969.94,7538566.29,11000000,46127,24444,0.529928242,450.008182,8208517.96,30780,6981,0.582261209,17922,458.013501,7538566.29,28136,24615,0.57410435,16153,466.697598,0.088869905,0.093972135,0.014207972,-0.018607546
43,次新店,A,黄浦绿地仓,2025-05-16,421.2372654,,60000000,14135062.7,0,4500000,16666,9999,0.599963999,450.0450045,3313698.35,8203,1744,0.796050226,6530,507.457634,0,0,0,0,0,0,0,0,0,0
44,次新店,B,泰安仓,2025-05-16,496.4283797,,11596246.57,11596246.57,0,3200000,28574,11428,0.399944005,280.0140007,2164005.61,8280,2399,0.876086957,7254,298.318943,0,0,0,0,0,0,0,0,0,0
45,次新店,A,松江九亭仓,2025-05-23,589.550249,,80000000,25511014.46,0,6500000,39778,17104,0.429986425,380.0280636,5310050.79,23292,3612,0.575476558,13404,396.154193,0,0,0,0,0,0,0,0,0,0
46,次新店,A,苏州源丰仓,2025-05-30,306.9938814,,70000000,17688044.9,0,5000000,22118,11500,0.519938512,434.7826087,3782965.64,16105,3199,0.564917727,9098,415.801895,0,0,0,0,0,0,0,0,0,0
47,次新店,A+,常州天宁仓,2025-05-30,385.9053995,,100000000,27919886.57,0,7000000,30303,16667,0.55001155,419.9916002,5753584.23,23703,7224,0.567860608,13460,427.457967,0,0,0,0,0,0,0,0,0,0
48,次新店,B,南京六合仓,2025-06-27,363.4876934,,50000000,13164595,0,3700000,25910,10883,0.420030876,339.979785,2142127.72,14172,2066,0.47932543,6793,315.343401,0,0,0,0,0,0,0,0,0,0
49,次新店,A+,燕郊仓,2025-07-18,448.8447187,,100000000,25878509.39,0,7000000,40002,20001,0.5,349.9825009,5324120.96,24627,5719,0.565720551,13932,382.150514,0,0,0,0,0,0,0,0,0,0
50,次新店,A,闵行星宝仓,2025-07-25,432.1845042,,70000000,14267254.48,0,4500000,18573,10589,0.570128681,424.9693078,2953604.08,10275,1685,0.655571776,6736,438.480416,0,0,0,0,0,0,0,0,0,0
51,次新店,A+,宝山北上海仓,2025-07-31,559.3315193,斯凯奇,100000000,32074301.67,0,8000000,32953,18714,0.567899736,427.4874426,6528753.67,21713,3089,0.600930318,13048,500.364322,0,0,0,0,0,0,0,0,0,0
52,次新店,A,杭州运河大剧院仓,2025-08-28,274.3310828,,70000000,18842576.45,0,5000000,18484,11089,0.599924259,450.8972856,3994304.45,10353,2727,0.820148749,8491,470.416259,0,0,0,0,0,0,0,0,0,0
53,次新店,A,杭州丽丰仓,2025-08-29,281.6244478,,70000000,9726114.94,0,3000000,14150,7500,0.530035336,400,1922700.32,6884,2071,0.631028472,4344,442.610571,0,0,0,0,0,0,0,0,0,0
54,次新店,B,杭州上亿仓,2025-08-29,296.4933365,,40000001,8935489.99,0,3000000,14290,7145,0.5,419.8740378,1518507.84,7073,1585,0.586596918,4149,365.993695,0,0,0,0,0,0,0,0,0,0
55,次新店,A,南京龙眠大道仓,2025-09-19,381.6773351,,70000000,16657177.66,0,5000000,23252,11626,0.5,430.0705316,3217337.83,15587,2633,0.589273112,9185,350.281746,0,0,0,0,0,0,0,0,0,0
56,次新店,B,徐州君盛仓,2025-09-19,341.0680111,,50000000,13537104.46,0,3800000,23819,10006,0.420084806,379.7721367,2627498.99,12802,2799,0.648101859,8297,316.680607,0,0,0,0,0,0,0,0,0,0
57,次新店,B,苏州吴中仓,2025-09-26,329.1778068,,40000000,11327768.41,0,3300000,15866,8250,0.519979831,400,2162625.49,8501,2028,0.59663569,5072,426.385152,0,0,0,0,0,0,0,0,0,0
58,次新店,A,南京鼓楼仓,2025-09-30,353.7218666,,70000000,10109320.26,0,3500000,13828,7608,0.550188024,460.042061,1948063.91,9092,2105,0.565662121,5143,378.779684,0,0,0,0,0,0,0,0,0,0
59,次新店,S,广州雄峰城仓,2025-09-30,508.2650752,,130000000,29287371.21,0,7000000,30715,16280,0.530034185,429.97543,4254568.83,14798,4875,0.636437356,9418,451.748655,0,0,0,0,0,0,0,0,0,0
60,次新店,S,浦东东郊百联仓,2025-10-24,465.4296646,斯凯奇,150000000,35749000.47,0,10000000,40854,20836,0.51001126,479.9385679,7045577.86,26456,6200,0.537420623,14218,495.539307,0,0,0,0,0,0,0,0,0,0
61,次新店,S,宝山大华仓,2025-10-31,530.7794687,,110000000,24774709.11,0,7000000,30503,13726,0.449988526,509.9810578,5107155.77,25651,3753,0.491832677,12616,404.815772,0,0,0,0,0,0,0,0,0,0
62,次新店,B,长宁东虹桥仓,2025-11-07,253.6122304,,40000002,7167104.54,0,2370000,8019,4978,0.620775658,476.0948172,1396534.86,4832,1243,0.635347682,3070,454.897349,0,0,0,0,0,0,0,0,0,0
63,次新店,A+,苏州相城环球港仓,2025-11-28,0,,100000000,30846528.14,0,7000000,26380,13453,0.509969674,520.3300379,5714089.84,23815,5475,0.544068864,12957,441.004079,0,0,0,0,0,0,0,0,0,0
64,次新店,A+,宝山白玉兰仓,2025-11-28,0,斯凯奇,100000001,25543025.28,0,6000000,22644,11322,0.5,529.9417064,4929515.66,18393,2982,0.583047899,10724,459.67136,0,0,0,0,0,0,0,0,0,0
65,次新店,A,北京房山瑞来广场仓,2025-12-05,0,,78000000,15379614.51,0,4500000,26316,13158,0.5,341.997264,2599293.44,11133,4102,0.586544507,6530,398.054126,0,0,0,0,0,0,0,0,0,0
66,次新店,S,郑州中原奥体中心仓,2025-12-26,0,自行,130000000,49765906.33,0,10000000,60134,29438,0.489540027,339.6969903,7112788.83,38737,19976,0.483801017,18741,379.530913,0,0,0,0,0,0,0,0,0,0
67,次新店,A,北京门头沟金融街仓,2025-12-31,0,,78000000,26527443.19,0,5000000,31299,14712,0.470046966,339.8586188,3043307.29,17641,5184,0.49861119,8796,345.987641,0,0,0,0,0,0,0,0,0,0
68,次新店,A+,南京栖霞招商花园城仓,2025-12-31,0,,120000000,50968750.91,0,9000000,37512,18756,0.5,479.8464491,6562085.68,27536,8579,0.580585415,15987,410.463857,0,0,0,0,0,0,0,0,0,0
69,新店,A+,北京大兴仓,2026-01-23,0,,100000000,26484404.09,0,5000000,29750,14281,0.480033613,350.1155381,3302248.47,15064,6269,0.543414764,8186,403.401964,0,0,0,0,0,0,0,0,0,0
70,新店,A+,杭州拱墅石桥仓,2026-01-23,0,自行,100000000,24042121.17,0,4500000,17858,10712,0.599843208,420.0896191,2721514.63,9056,2896,0.674911661,6112,445.273991,0,0,0,0,0,0,0,0,0,0
71,新店,S,合肥包河绿地360仓,2026-01-30,0,自行,100000000,29380984.45,0,6000000,29069,13954,0.480030273,429.9842339,4074919.57,14540,7541,0.656121045,9540,427.140417,0,0,0,0,0,0,0,0,0,0
72,新店,S,北京丰台米兰广场仓,2026-02-06,0,,130000000,32517367.14,0,10000000,47484,24692,0.520006739,404.9894703,5977501.29,22581,11532,0.559009787,12623,473.540466,0,0,0,0,0,0,0,0,0,0
73,新店,A+,苏州吴江仓,2026-02-06,0,,100000001,27266328.02,0,7000000,31444,16665,0.529989823,420.0420042,3943045.9,19096,6423,0.524193548,10010,393.91068,0,0,0,0,0,0,0,0,0,0
74,新店,A+,静安盛源广场仓,2026/4/3,,,50000000,9088470.34,0,20000000,0,0,0,0,9087083.14,40922,19501,0.504374175,20640,440.265657,0,0,0,0,0,0,0,0,0,0
75,新店,S,浦东高行仓,2026/4/17,,,0,15480984.56,0,20000000,0,0,0,0,15479329.37,57800,34370,0.548719723,31716,488.060581,0,0,0,0,0,0,0,0,0,0
76,新店,,北京大兴新辰天地仓,,,,0,0,0,0,0,0,0,0,0,10,0,0.8,8,0,0,0,0,0,0,0,0,0,0,0
