brand,brand_owner,brand_tier,category,business_mode,msrp_gmv,transaction_gmv,gross_sales,gmv,net_sales,recognized_revenue,cogs,gross_profit,gross_margin_pct,gross_units,returned_units,net_units,return_rate,discount_amount,markdown_amount,discount_depth,discount_factor,cost_to_msrp_ratio,price_cost_spread,markdown_rate,net_aur,orders,revenue_share,gross_profit_share
Adidas,External Brand,Tier 1,Outdoor Apparel,Consignment,338294.7,77558.41,77558.41,77558.41,74445.44,15760.08,2759.25,13000.83,0.8249215740021624,185,7,178,0.03783783783783784,260736.29,260736.29,0.7707371413149541,0.22926285868504592,0.0413,0.18796285868504592,0.7707371413149541,88.53977528089888,109,0.000992182614604523,0.0020968880832019426
Adidas,External Brand,Tier 1,Performance Apparel,Buyout,675500.21,155198.42,155198.42,155198.42,146997.1,146997.1,96912.94,50084.159999999996,0.34071529302278747,734,40,694,0.05449591280653951,520301.79,520301.79,0.7702466739425587,0.22975332605744123,0.14118696629213484,0.08856635976530638,0.7702466739425589,211.8113832853026,445,0.009254265652032384,0.00807801334693088
Adidas,External Brand,Tier 1,Performance Apparel,Consignment,867912.13,147917.21,147917.21,147917.21,141950.06,39709.28,6841.18,32868.1,0.8277183570188127,592,25,567,0.04222972972972973,719994.92,719994.92,0.8295712147726291,0.17042878522737087,0.03361529745042493,0.13681348777694594,0.8295712147726292,70.03400352733686,353,0.0024999148008425774,0.005301255935774083
Adidas,External Brand,Tier 1,Running Shoes,Consignment,1020429.03,186597.03,186597.03,186597.03,179171.26,44208.32,7757.82,36450.5,0.8245167425498187,1211,48,1163,0.03963666391412056,833832.0,833832.0,0.8171386500048906,0.1828613499951094,0.027456470588235294,0.15540487940687409,0.8171386500048906,38.01231298366294,765,0.0027831537990209076,0.005879056881503136
Adidas,External Brand,Tier 1,Sportswear,Consignment,413004.38,62571.1,62571.1,62571.1,59883.05,16720.96,2927.62,13793.34,0.8249131628806002,946,41,905,0.04334038054968287,350433.28,350433.28,0.8484977326390583,0.15150226736094177,0.03874757118927973,0.11275469617166203,0.8484977326390583,18.476198895027622,597,0.0010526752282664581,0.0022247110587210726
Adidas,External Brand,Tier 1,Training Shoes,Buyout,781043.1,176658.18,176658.18,176658.18,164476.88,164476.88,108902.01,55574.87,0.33788864428848603,519,36,483,0.06936416184971098,604384.92,604384.92,0.7738176292703949,0.22618237072960506,0.1498,0.07638237072960508,0.773817629270395,340.53184265010356,331,0.01035471271975741,0.008963603295212471
Adidas,External Brand,Tier 1,Training Shoes,Consignment,445470.18,101690.02,101690.02,101690.02,97111.02,29596.82,5202.26,24394.56,0.8242290894765046,346,16,330,0.046242774566473986,343780.16,343780.16,0.7717242936440774,0.22827570635592265,0.028449771689497718,0.19982593466642493,0.7717242936440774,89.68733333333333,219,0.0018632805323056379,0.003934568958978372
Adidas,External Brand,Tier 1,Underwear,Buyout,143407.11,32852.0,32852.0,32852.0,31563.43,31563.43,20317.44,11245.99,0.35629809561254905,231,9,222,0.03896103896103896,110555.11,110555.11,0.7709179133447428,0.2290820866552572,0.1474,0.0816820866552572,0.7709179133447429,142.17761261261262,149,0.0019870893106689077,0.0018138520705838176
Adidas,External Brand,Tier 1,Underwear,Consignment,421461.82,98062.27,98062.27,98062.27,94306.98,23552.78,4073.96,19478.82,0.8270284866584752,758,30,728,0.0395778364116095,323399.55,323399.55,0.7673282244166268,0.23267177558337312,0.043591757049891544,0.18908001853348158,0.7673282244166268,32.35271978021978,461,0.0014827753946429912,0.0031417152237846096
Adidas,External Brand,Tier 1,Yoga Apparel,Buyout,59740.2,13766.15,13766.15,13766.15,13426.07,13426.07,6969.9,6456.17,0.4808681915109932,108,3,105,0.027777777777777776,45974.05,45974.05,0.7695663891316065,0.23043361086839348,0.12,0.11043361086839348,0.7695663891316066,127.86733333333333,69,0.0008452440112273127,0.0010413078192796834
Adidas,External Brand,Tier 1,Yoga Apparel,Consignment,418953.22,96503.87,96503.87,96503.87,93082.42,29969.61,5153.5,24816.11,0.8280424736925172,716,26,690,0.036312849162011177,322449.35,322449.35,0.7696547838921014,0.23034521610789863,0.0361480686695279,0.19419714743837074,0.7696547838921014,43.43421739130435,466,0.0018867496870877468,0.00400256024657107
Asics,External Brand,Tier 3,Accessories,Consignment,42532.0,8616.11,8616.11,8616.11,8179.7,2462.04,426.86,2035.18,0.8266234504719664,310,17,293,0.054838709677419356,33915.89,33915.89,0.7974205304241512,0.2025794695758488,0.0356,0.1669794695758488,0.7974205304241512,8.402866894197953,191,0.00015499878709124062,0.00032825171078853653
Asics,External Brand,Tier 3,Bags,Buyout,70500.64,13591.71,13591.71,13591.71,13205.19,13205.19,10229.019999999999,2976.17,0.2253788093923677,76,2,74,0.02631578947368421,56908.93,56908.93,0.8072115373704409,0.1927884626295591,0.149,0.0437884626295591,0.8072115373704409,178.44851351351352,44,0.0008313384158297103,0.00048002284520166216
Asics,External Brand,Tier 3,Kids Apparel,Consignment,219213.91999999998,44420.24,44420.24,44420.24,42460.99,11061.11,1917.63,9143.48,0.8266331317562161,284,14,270,0.04929577464788732,174793.68,174793.68,0.79736578772005,0.2026342122799501,0.045,0.15763421227995011,0.79736578772005,40.96707407407408,183,0.0006963569372889119,0.0014747407858571567
Asics,External Brand,Tier 3,Outdoor Apparel,Buyout,391513.96,58608.54,58608.54,58608.54,56191.1,56191.1,47629.48,8561.62,0.15236612203711977,246,10,236,0.04065040650406504,332905.42,332905.42,0.8503028091258866,0.1496971908741134,0.1336193103448276,0.0160778805292858,0.8503028091258865,238.0978813559322,145,0.003537534867558046,0.0013808932930361691
Asics,External Brand,Tier 3,Performance Apparel,Consignment,409457.92,84549.14,84549.14,84549.14,81022.29,15532.07,2746.93,12785.14,0.8231446291447309,544,23,521,0.042279411764705885,324908.78,324908.78,0.7935095748056357,0.2064904251943643,0.0434,0.1630904251943643,0.7935095748056358,29.812034548944336,342,0.0009778281469904006,0.002062099705024101
Asics,External Brand,Tier 3,Sportswear,Buyout,320199.46,62773.98,62773.98,62773.98,59816.35,59816.35,34353.46,25462.89,0.4256844491514444,608,30,578,0.049342105263157895,257425.48,257425.48,0.8039535107273448,0.19604648927265522,0.11302010443864231,0.08302638483401291,0.8039535107273448,103.48849480968858,383,0.0037657640404807117,0.004106878607356754
Asics,External Brand,Tier 3,Sportswear,Consignment,943100.29,186069.7,186069.7,186069.7,178221.27,55249.43,9667.09,45582.34,0.8250282401103504,1359,60,1299,0.04415011037527594,757030.59,757030.59,0.8027042277762422,0.19729577222375788,0.039618536585365856,0.15767723563839203,0.8027042277762421,42.53227867590454,820,0.0034782516277080807,0.0073519202658952724
Asics,External Brand,Tier 3,Training Shoes,Buyout,127782.2,25114.99,25114.99,25114.99,24489.51,24489.51,10579.800000000001,13909.71,0.5679864562418766,170,5,165,0.029411764705882353,102667.21,102667.21,0.8034547065240698,0.19654529347593017,0.08530000000000001,0.11124529347593015,0.8034547065240699,148.4212727272727,98,0.001541747634668327,0.002243480234707699
Asics,External Brand,Tier 3,Training Shoes,Consignment,621073.7100000001,123412.88,123412.88,123412.88,117777.57,30610.38,5374.77,25235.61,0.8244134832694008,513,23,490,0.04483430799220273,497660.83,497660.83,0.8012910899094409,0.19870891009055913,0.0348,0.16390891009055913,0.8012910899094408,62.47016326530613,322,0.001927089638024553,0.004070220892153176
Asics,External Brand,Tier 3,Underwear,Buyout,333685.88,60250.19,60250.19,60250.19,56849.590000000004,56849.590000000004,38619.329999999994,18230.26,0.32067531181843173,628,34,594,0.054140127388535034,273435.69,273435.69,0.8194403970584551,0.1805596029415449,0.12132027027027026,0.05923933267127465,0.8194403970584551,95.70638047138048,370,0.0035789903887159928,0.002940336497567697
Asics,External Brand,Tier 3,Underwear,Consignment,17752.0,3423.22,3423.22,3423.22,3423.22,947.9,176.11,771.79,0.8142103597425888,50,0,50,0.0,14328.779999999999,14328.779999999999,0.8071642631816134,0.19283573681838664,0.0334,0.15943573681838663,0.8071642631816133,18.958,36,5.967545217940691e-05,0.00012448107188036667
Asics,External Brand,Tier 3,Yoga Apparel,Buyout,295552.32,58960.6,58960.6,58960.6,55562.31,55562.31,38584.909999999996,16977.4,0.3055560504953808,412,23,389,0.055825242718446605,236591.72,236591.72,0.8005070641976352,0.19949293580236485,0.1383,0.061192935802364845,0.8005070641976351,142.83370179948585,256,0.0034979491226736813,0.0027382642295724706
Asics,External Brand,Tier 3,Yoga Apparel,Consignment,35973.05,7081.95,7081.95,7081.95,6893.86,1749.7,308.84,1440.86,0.823489741098474,145,4,141,0.027586206896551724,28891.1,28891.1,0.80313178893644,0.19686821106356006,0.0225,0.17436821106356007,0.8031317889364398,12.409219858156028,91,0.00011015311602311244,0.0002323945596982924
Brand A,Himaxx Own,Tier 2,Accessories,Own Brand,229409.57,58561.96,58561.96,58561.96,56786.92,56786.92,32514.05,24272.87,0.42743769163744044,653,19,634,0.02909647779479326,170847.61,170847.61,0.7447274758415702,0.2552725241584298,0.14190099255583125,0.11337153160259858,0.7447274758415701,89.56927444794952,403,0.003575044971912444,0.003914941726652062
Brand A,Himaxx Own,Tier 2,Bags,Own Brand,361679.69,90930.04,90930.04,90930.04,87928.19,87928.19,50641.62,37286.57,0.4240570629282827,435,15,420,0.034482758620689655,270749.65,270749.65,0.748589587654203,0.2514104123457969,0.16581392857142857,0.08559648377436835,0.7485895876542031,209.35283333333334,280,0.005535557018215851,0.00601390559652538
Brand A,Himaxx Own,Tier 2,Basketball Shoes,Own Brand,1659705.41,372569.52,372569.52,372569.52,357240.13,357240.13,248435.85,108804.28,0.30456903036061483,1692,62,1630,0.03664302600472813,1287135.89,1287135.89,0.7755206931572272,0.2244793068427728,0.16102858546168958,0.06345072138108324,0.7755206931572272,219.16572392638037,1018,0.022490206028463033,0.017548910195223495
Brand A,Himaxx Own,Tier 2,Kids Apparel,Own Brand,364975.06,94626.66,94626.66,94626.66,91956.78,91956.78,64084.520000000004,27872.26,0.3031017397520879,771,21,750,0.027237354085603113,270348.4,270348.4,0.7407311611922196,0.25926883880778046,0.17175543478260868,0.08751340402517177,0.7407311611922196,122.60904,460,0.005789178634309782,0.004495482968849386
Brand A,Himaxx Own,Tier 2,Lifestyle Apparel,Own Brand,535781.33,85457.09,85457.09,85457.09,81701.66,81701.66,95612.36,-13910.7,-0.17026214644843202,1765,69,1696,0.039093484419263455,450324.24,450324.24,0.8405000599778272,0.15949994002217285,0.19604547101449277,-0.03654553099231991,0.8405000599778272,48.17314858490566,1104,0.00514356314411664,-0.0022436399106054972
Brand A,Himaxx Own,Tier 2,Outdoor Apparel,Own Brand,3254668.25,818605.12,818605.12,818605.12,778139.53,778139.53,416156.65,361982.88,0.465190195388223,1972,97,1875,0.049188640973630834,2436063.13,2436063.13,0.7484827770080714,0.2515172229919286,0.13505184880854562,0.11646537418338296,0.7484827770080714,415.0077493333333,1217,0.04898810877879647,0.058383779142956164
Brand A,Himaxx Own,Tier 2,Performance Apparel,Own Brand,2491057.0500000003,501085.5,501085.5,501085.5,476168.43,476168.43,353082.96,123085.47,0.2584914543788634,2422,124,2298,0.05119735755573906,1989971.55,1989971.55,0.7988462367812893,0.20115376321871067,0.13646173969914976,0.06469202351956091,0.7988462367812892,207.20993472584857,1529,0.029977388304471216,0.019852305988026165
Brand A,Himaxx Own,Tier 2,Running Shoes,Own Brand,2166832.17,550084.37,550084.37,550084.37,528577.07,528577.07,394282.65,134294.42,0.2540678126654265,1821,71,1750,0.03898956617243273,1616747.8,1616747.8,0.746134297978417,0.253865702021583,0.18956465517241378,0.06430104684916921,0.7461342979784171,302.04404,1160,0.03327679677594263,0.02166018392198934
Brand A,Himaxx Own,Tier 2,Sportswear,Own Brand,836627.78,212061.41,212061.41,212061.41,201250.9,201250.9,153807.41999999998,47443.48,0.2357429457458327,857,42,815,0.049008168028004666,624566.37,624566.37,0.7465283665335617,0.2534716334664383,0.19158984238178633,0.06188179108465197,0.7465283665335617,246.93361963190182,571,0.012669836964883007,0.007652101276428482
Brand A,Himaxx Own,Tier 2,Training Shoes,Own Brand,1487912.2,378853.88,378853.88,378853.88,363684.83,363684.83,236099.9,127584.93,0.3508118004262097,1332,50,1282,0.03753753753753754,1109058.32,1109058.32,0.7453788738340879,0.2546211261659122,0.15926975381008207,0.09535137235583013,0.7453788738340879,283.68551482059286,853,0.02289593488874431,0.020578018427527628
Brand A,Himaxx Own,Tier 2,Underwear,Own Brand,277117.39,69674.59,69674.59,69674.59,66630.11,66630.11,47206.57,19423.54,0.29151295112675035,641,27,614,0.0421216848673947,207442.8,207442.8,0.7485737362061616,0.25142626379383837,0.17275492610837437,0.078671337685464,0.7485737362061615,108.51809446254072,406,0.004194727231789875,0.0031327991797136232
Brand B,Himaxx Own,Tier 2,Accessories,Own Brand,719644.8200000001,180893.27,180893.27,180893.27,172969.32,172969.32,118773.34999999999,54195.97,0.3133270686385308,1671,72,1599,0.04308797127468582,538751.55,538751.55,0.7486353476427441,0.25136465235725586,0.17082592592592594,0.08053872643132992,0.7486353476427441,108.17343339587242,1026,0.010889357932444912,0.008741202188673337
Brand B,Himaxx Own,Tier 2,Basketball Shoes,Own Brand,2566862.57,475035.8,475035.8,475035.8,453014.33,453014.33,371563.06,81451.27,0.1797984403716324,2192,100,2092,0.04562043795620438,2091826.77,2091826.77,0.8149352421310191,0.18506475786898088,0.15787238163558107,0.027192376233399818,0.8149352421310192,216.5460468451243,1394,0.02851971198069529,0.013137176428325261
Brand B,Himaxx Own,Tier 2,Kids Apparel,Own Brand,540047.45,133671.7,133671.7,133671.7,128963.47,128963.47,76095.76,52867.71,0.4099432963458567,1145,46,1099,0.04017467248908297,406375.75,406375.75,0.7524815643514287,0.2475184356485713,0.15208987688098496,0.09542855876758632,0.7524815643514288,117.34619654231119,731,0.008118950719353707,0.008526968746239753
Brand B,Himaxx Own,Tier 2,Lifestyle Apparel,Own Brand,46446.72,11955.84,11955.84,11955.84,11544.23,11544.23,4887.57,6656.66,0.5766222606444952,204,7,197,0.03431372549019608,34490.88,34490.88,0.742590219503121,0.257409780496879,0.109,0.14840978049687903,0.7425902195031209,58.600152284263956,137,0.0007267719646725125,0.0010736446079155748
Brand B,Himaxx Own,Tier 2,Outdoor Apparel,Own Brand,475984.07999999996,62278.14,62278.14,62278.14,59585.36,59585.36,62143.2,-2557.84,-0.042927323087416105,351,15,336,0.042735042735042736,413705.94,413705.94,0.8691591954083843,0.13084080459161576,0.1364,-0.005559195408384232,0.8691591954083844,177.33738095238095,214,0.0037512219656849304,-0.0004125509074987718
Brand B,Himaxx Own,Tier 2,Performance Apparel,Own Brand,76600.79000000001,19343.76,19343.76,19343.76,18308.39,18308.39,14447.289999999999,3861.1,0.2108923832188412,151,8,143,0.052980132450331126,57257.03,57257.03,0.7474731004732458,0.25252689952675417,0.19919999999999996,0.05332689952675421,0.7474731004732457,128.0306993006993,90,0.0011526125666493634,0.0006227521302909907
Brand B,Himaxx Own,Tier 2,Running Shoes,Own Brand,933530.12,234036.45,234036.45,234036.45,225152.85,225152.85,151603.45,73549.4,0.32666430826880494,934,34,900,0.03640256959314775,699493.67,699493.67,0.7492995191199615,0.2507004808800385,0.17370525394045533,0.07699522693958316,0.7492995191199616,250.16983333333334,571,0.014174594507049455,0.011862693411624716
Brand B,Himaxx Own,Tier 2,Sportswear,Own Brand,1901516.11,462878.73,462878.73,462878.73,444534.04,444534.04,250103.05000000002,194430.99,0.4373815557521759,1757,73,1684,0.04154809334092203,1438637.38,1438637.38,0.7565738583198225,0.24342614168017748,0.13602973708068905,0.10739640459948843,0.7565738583198224,263.9750831353919,1103,0.02798583167648334,0.03135953827072241
Brand B,Himaxx Own,Tier 2,Training Shoes,Own Brand,991895.9299999999,143517.77,143517.77,143517.77,138215.2,138215.2,155505.1,-17289.9,-0.1250940562253645,845,31,814,0.036686390532544376,848378.16,848378.16,0.8553096492693543,0.1446903507306457,0.16058042635658915,-0.01589007562594344,0.8553096492693544,169.79754299754302,516,0.008701397360551918,-0.0027886669750895343
Brand B,Himaxx Own,Tier 2,Underwear,Own Brand,544638.94,91464.16,91464.16,91464.16,87397.29,87397.29,88196.84,-799.55,-0.009148453001231504,2035,92,1943,0.04520884520884521,453174.78,453174.78,0.8320645967767196,0.16793540322328038,0.16027688130333592,0.007658521919944455,0.8320645967767197,44.98059186824498,1289,0.005502133980382696,-0.00012895844857013845
Brand B,Himaxx Own,Tier 2,Yoga Apparel,Own Brand,474319.39,121336.99,121336.99,121336.99,116350.19,116350.19,72926.76,43423.43,0.373213228100444,581,24,557,0.04130808950086059,352982.4,352982.4,0.744187160470079,0.25581283952992095,0.1494287634408602,0.10638407608906075,0.744187160470079,208.8872351885099,372,0.007324876252146754,0.007003712293657692
Brooks Brothers,External Brand,Tier 1,Accessories,Buyout,69268.54000000001,15769.59,15769.59,15769.59,15335.2,15335.2,8332.86,7002.34,0.4566187594553706,173,5,168,0.028901734104046242,53498.95,53498.95,0.7723412388943091,0.22765876110569094,0.12147741935483872,0.10618134175085223,0.7723412388943088,91.28095238095239,124,0.0009654341114691855,0.0011293989153406583
Brooks Brothers,External Brand,Tier 1,Accessories,Consignment,31935.91,7415.75,7415.75,7415.75,7180.03,2335.65,425.05,1910.6000000000001,0.818016398004838,83,3,80,0.03614457831325301,24520.16,24520.16,0.7677927449069089,0.23220725509309112,0.0387,0.19350725509309114,0.7677927449069089,29.195625,49,0.00014704185028255274,0.000308158353871686
Brooks Brothers,External Brand,Tier 1,Bags,Buyout,84711.9,18906.51,18906.51,18906.51,18588.38,18588.38,7017.84,11570.54,0.6224609137536461,58,1,57,0.017241379310344827,65805.39,65805.39,0.7768140013386549,0.2231859986613451,0.0843,0.1388859986613451,0.776814001338655,326.1119298245614,36,0.001170239457519405,0.0018661983459680195
Brooks Brothers,External Brand,Tier 1,Basketball Shoes,Buyout,77262.75,17895.35,17895.35,17895.35,17662.17,17662.17,11272.36,6389.8099999999995,0.3617794415974934,69,1,68,0.014492753623188406,59367.4,59367.4,0.7683832118323513,0.2316167881676487,0.148,0.0836167881676487,0.7683832118323514,259.737794117647,50,0.0011119295086185834,0.0010306046954636438
Brooks Brothers,External Brand,Tier 1,Kids Apparel,Buyout,107132.39,24361.01,24361.01,24361.01,23337.53,23337.53,8744.18,14593.35,0.6253168180180165,211,8,203,0.037914691943127965,82771.38,82771.38,0.7726083586859213,0.22739164131407877,0.08351159420289855,0.14388004711118021,0.7726083586859213,114.96320197044335,138,0.0014692242383167783,0.002353743700132612
Brooks Brothers,External Brand,Tier 1,Kids Apparel,Consignment,542778.48,123680.58,123680.58,123680.58,120031.18000000001,33458.75,5975.26,27483.49,0.8214141293383644,742,25,717,0.03369272237196765,419097.9,419097.9,0.7721343336972387,0.2278656663027613,0.03574141414141414,0.19212425216134715,0.7721343336972387,46.66492329149233,495,0.0021064099964212797,0.004432778727650447
Brooks Brothers,External Brand,Tier 1,Lifestyle Apparel,Buyout,168338.4,38975.56,38975.56,38975.56,38260.76,38260.76,16393.65,21867.11,0.5715283752858019,352,7,345,0.019886363636363636,129362.84,129362.84,0.7684689886561831,0.23153101134381698,0.099721875,0.13180913634381697,0.7684689886561831,110.90075362318841,224,0.002408722601253049,0.003526919617675643
Brooks Brothers,External Brand,Tier 1,Outdoor Apparel,Buyout,512243.68,119368.74,119368.74,119368.74,114522.98,114522.98,58857.39,55665.59,0.4860648055089031,268,11,257,0.041044776119402986,392874.94,392874.94,0.7669688379561852,0.2330311620438148,0.1199375,0.1130936620438148,0.7669688379561852,445.6147081712062,160,0.007209843460737603,0.008978235413847055
Brooks Brothers,External Brand,Tier 1,Performance Apparel,Buyout,605011.4,139775.85,139775.85,139775.85,134430.5,134430.5,73201.73,61228.77,0.4554678439788589,653,26,627,0.039816232771822356,465235.55,465235.55,0.7689698904847082,0.23103010951529176,0.11152005076142131,0.11951005875387045,0.7689698904847082,214.40271132376395,394,0.00846312994430189,0.009875513960425035
Brooks Brothers,External Brand,Tier 1,Running Shoes,Buyout,68255.51999999999,15979.02,15979.02,15979.02,15527.33,15527.33,9005.92,6521.41,0.41999558198350906,159,5,154,0.031446540880503145,52276.5,52276.5,0.765894099114621,0.23410590088537897,0.1362,0.09790590088537898,0.7658940991146211,100.82681818181818,108,0.0009775297382517885,0.0010518302996557897
Brooks Brothers,External Brand,Tier 1,Sportswear,Buyout,184249.31,43188.71,43188.71,43188.71,40619.5,40619.5,21973.69,18645.81,0.45903593101835327,343,20,323,0.05830903790087463,141060.6,141060.6,0.7655963542007295,0.23440364579927056,0.1266,0.10780364579927057,0.7655963542007295,125.75696594427245,219,0.0025572180924163085,0.0030073600524464683
Brooks Brothers,External Brand,Tier 1,Sportswear,Consignment,130071.4,30020.3,30020.3,30020.3,28654.0,7266.63,1318.87,5947.76,0.8185032126308894,292,14,278,0.04794520547945205,100051.1,100051.1,0.7692013770898137,0.23079862291018627,0.0118,0.21899862291018626,0.7692013770898138,26.138956834532376,179,0.00045747381693263386,0.0009593069877650263
Brooks Brothers,External Brand,Tier 1,Training Shoes,Buyout,462994.83,104126.49,104126.49,104126.49,99063.94,99063.94,37158.26,61905.68,0.6249062978920483,391,18,373,0.04603580562659847,358868.34,358868.34,0.7751022619410243,0.22489773805897573,0.0841,0.14079773805897572,0.7751022619410243,265.5869705093834,237,0.006236612948806452,0.009984691952322492
Brooks Brothers,External Brand,Tier 1,Underwear,Buyout,31300.81,7340.18,7340.18,7340.18,7042.73,7042.73,2716.8599999999997,4325.87,0.6142319810641612,229,9,220,0.039301310043668124,23960.63,23960.63,0.7654955255151544,0.2345044744848456,0.09063333333333333,0.14387114115151228,0.7654955255151544,32.01240909090909,135,0.0004433780961361688,0.0006977143191996809
Brooks Brothers,External Brand,Tier 1,Yoga Apparel,Buyout,25641.45,3210.1,3210.1,3210.1,3094.0,3094.0,1940.4,1153.6,0.3728506787330316,57,2,55,0.03508771929824561,22431.35,22431.35,0.8748081719247547,0.12519182807524534,0.0784,0.046791828075245345,0.8748081719247546,56.25454545454546,37,0.0001947841006889809,0.00018606274313115093
Brooks Brothers,External Brand,Tier 1,Yoga Apparel,Consignment,788082.72,119106.71,119106.71,119106.71,114366.11,26808.87,4750.47,22058.4,0.8228023038643554,1099,45,1054,0.04094631483166515,668976.01,668976.01,0.8488652181080687,0.15113478189193136,0.027842857142857145,0.12329192474907422,0.8488652181080687,25.435360531309296,679,0.0016877639409947638,0.0035577725494835124
Champion,External Brand,Tier 3,Accessories,Buyout,196200.97999999998,38077.9,38077.9,38077.9,36834.86,36834.86,26477.83,10357.03,0.2811746807236406,323,11,312,0.034055727554179564,158123.08,158123.08,0.8059240071074059,0.19407599289259414,0.14128376963350786,0.05279222325908628,0.8059240071074059,118.06044871794872,191,0.002318954453492086,0.0016704727916883012
Champion,External Brand,Tier 3,Bags,Buyout,81408.2,16705.99,16705.99,16705.99,16163.43,16163.43,7266.36,8897.07,0.5504444291836571,236,8,228,0.03389830508474576,64702.21,64702.21,0.7947873801410669,0.20521261985893316,0.0924,0.11281261985893316,0.7947873801410669,70.89223684210526,152,0.0010175756873300886,0.0014349976161840057
Champion,External Brand,Tier 3,Bags,Consignment,193178.02,25218.09,25218.09,25218.09,24346.51,7043.47,1245.88,5797.59,0.8231155950121176,226,7,219,0.030973451327433628,167959.93,167959.93,0.869456732189304,0.13054326781069606,0.0192,0.11134326781069606,0.869456732189304,32.161963470319634,151,0.0004434246831544332,0.0009350862508232744
Champion,External Brand,Tier 3,Basketball Shoes,Buyout,384850.68,77993.81,77993.81,77993.81,74107.5,74107.5,41854.05,32253.45,0.4352251796376885,317,16,301,0.050473186119873815,306856.87,306856.87,0.7973400748570848,0.20265992514291517,0.1145,0.08815992514291517,0.7973400748570848,246.2043189368771,206,0.004665469535167631,0.005202119783671481
