risk_id,risk_type,entity_type,entity_name,month_or_snapshot,channel,store_id,brand,sku,key_metric,metric_value,risk_level,risk_reason,recommended_action,owner_department
RISK000030,Negative Store CM,Store,Himaxx Nanjing Warehouse 36,2026-01-01,Himaxx Warehouse Outlet,S036,,,store_cm,-3135.86,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000031,Negative Store CM,Store,Himaxx Shenzhen Warehouse 37,2026-01-01,Himaxx Warehouse Outlet,S037,,,store_cm,-17240.68,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000032,Negative Store CM,Store,Himaxx Qingdao Warehouse 38,2026-01-01,Himaxx Warehouse Outlet,S038,,,store_cm,-18042.24,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000033,Negative Store CM,Store,Himaxx Shenzhen Warehouse 39,2026-01-01,Himaxx Warehouse Outlet,S039,,,store_cm,-34420.21,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000034,Negative Store CM,Store,Himaxx Shanghai Warehouse 41,2026-01-01,Himaxx Warehouse Outlet,S041,,,store_cm,-39561.61,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000035,Negative Store CM,Store,Himaxx Shanghai Warehouse 42,2026-01-01,Himaxx Warehouse Outlet,S042,,,store_cm,-2854.06,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000036,Negative Store CM,Store,Himaxx Hangzhou Warehouse 43,2026-01-01,Himaxx Warehouse Outlet,S043,,,store_cm,-16354.01,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000037,Negative Store CM,Store,Himaxx Changsha Warehouse 44,2026-01-01,Himaxx Warehouse Outlet,S044,,,store_cm,-9231.14,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000038,Negative Store CM,Store,Himaxx Beijing Warehouse 45,2026-01-01,Himaxx Warehouse Outlet,S045,,,store_cm,-25741.65,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000039,Negative Store CM,Store,Himaxx Shanghai Warehouse 46,2026-01-01,Himaxx Warehouse Outlet,S046,,,store_cm,-12086.81,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000040,Negative Store CM,Store,Himaxx Xiamen Warehouse 47,2026-01-01,Himaxx Warehouse Outlet,S047,,,store_cm,-32155.06,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000041,Negative Store CM,Store,Himaxx Chongqing Warehouse 48,2026-01-01,Himaxx Warehouse Outlet,S048,,,store_cm,-21198.88,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000042,Negative Store CM,Store,Himaxx Suzhou Warehouse 50,2026-01-01,Himaxx Warehouse Outlet,S050,,,store_cm,-37599.87,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000043,Negative Store CM,Store,Himaxx Qingdao Warehouse 51,2026-01-01,Himaxx Warehouse Outlet,S051,,,store_cm,-26688.77,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000044,Negative Store CM,Store,Himaxx Shanghai Warehouse 52,2026-01-01,Himaxx Warehouse Outlet,S052,,,store_cm,-32988.05,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000045,Negative Store CM,Store,Himaxx Chongqing Warehouse 53,2026-01-01,Himaxx Warehouse Outlet,S053,,,store_cm,-1420.52,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000046,Negative Store CM,Store,Himaxx Tianjin Warehouse 54,2026-01-01,Himaxx Warehouse Outlet,S054,,,store_cm,-6837.02,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000047,Negative Store CM,Store,Himaxx Xiamen Warehouse 55,2026-01-01,Himaxx Warehouse Outlet,S055,,,store_cm,-722.98,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000048,Negative Store CM,Store,Himaxx Shanghai Warehouse 57,2026-01-01,Himaxx Warehouse Outlet,S057,,,store_cm,-9999.32,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000049,Negative Store CM,Store,Himaxx Xiamen Warehouse 58,2026-01-01,Himaxx Warehouse Outlet,S058,,,store_cm,-50140.4,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000050,Negative Store CM,Store,Himaxx Suzhou Warehouse 59,2026-01-01,Himaxx Warehouse Outlet,S059,,,store_cm,-40137.76,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000051,Negative Store CM,Store,Himaxx Xi'an Warehouse 60,2026-01-01,Himaxx Warehouse Outlet,S060,,,store_cm,-12326.71,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000052,Negative Store CM,Store,Himaxx Xiamen Warehouse 61,2026-01-01,Himaxx Warehouse Outlet,S061,,,store_cm,-25137.2,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000053,Negative Store CM,Store,Himaxx Xi'an Warehouse 62,2026-01-01,Himaxx Warehouse Outlet,S062,,,store_cm,-26997.69,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000054,Negative Store CM,Store,Himaxx Nanjing Warehouse 63,2026-01-01,Himaxx Warehouse Outlet,S063,,,store_cm,-36912.4,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000055,Negative Store CM,Store,Himaxx Guangzhou Warehouse 64,2026-01-01,Himaxx Warehouse Outlet,S064,,,store_cm,-5149.19,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000056,Negative Store CM,Store,Himaxx Tianjin Warehouse 65,2026-01-01,Himaxx Warehouse Outlet,S065,,,store_cm,-20782.03,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000057,Negative Store CM,Store,Himaxx Tianjin Warehouse 66,2026-01-01,Himaxx Warehouse Outlet,S066,,,store_cm,-43343.45,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000058,Negative Store CM,Store,Himaxx Beijing Warehouse 67,2026-01-01,Himaxx Warehouse Outlet,S067,,,store_cm,-5635.76,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000059,Negative Store CM,Store,Himaxx Suzhou Warehouse 68,2026-01-01,Himaxx Warehouse Outlet,S068,,,store_cm,-7843.81,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000060,Negative Store CM,Store,Himaxx Beijing Warehouse 69,2026-01-01,Himaxx Warehouse Outlet,S069,,,store_cm,-25955.25,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000061,Negative Store CM,Store,Himaxx Changsha Warehouse 70,2026-01-01,Himaxx Warehouse Outlet,S070,,,store_cm,-62840.9,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000062,Negative Store CM,Store,Himaxx Qingdao Warehouse 71,2026-01-01,Himaxx Warehouse Outlet,S071,,,store_cm,-24047.22,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000063,Negative Store CM,Store,Himaxx Changsha Warehouse 72,2026-01-01,Himaxx Warehouse Outlet,S072,,,store_cm,-27833.24,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000064,Negative Store CM,Store,Himaxx Tianjin Warehouse 73,2026-01-01,Himaxx Warehouse Outlet,S073,,,store_cm,-5090.11,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000065,Negative Store CM,Store,Himaxx Shenzhen Warehouse 75,2026-01-01,Himaxx Warehouse Outlet,S075,,,store_cm,-1960.96,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000066,Negative Store CM,Store,Himaxx Nanjing Warehouse 76,2026-01-01,Himaxx Warehouse Outlet,S076,,,store_cm,-18378.99,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000067,Negative Store CM,Store,Himaxx Beijing Warehouse 1,2026-02-01,Himaxx Warehouse Outlet,S001,,,store_cm,-8461.56,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000068,Negative Store CM,Store,Himaxx Nanjing Warehouse 2,2026-02-01,Himaxx Warehouse Outlet,S002,,,store_cm,-4857.74,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000069,Negative Store CM,Store,Himaxx Shenzhen Warehouse 3,2026-02-01,Himaxx Warehouse Outlet,S003,,,store_cm,-44991.2,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000070,Negative Store CM,Store,Himaxx Xiamen Warehouse 4,2026-02-01,Himaxx Warehouse Outlet,S004,,,store_cm,-36393.41,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000071,Negative Store CM,Store,Himaxx Changsha Warehouse 5,2026-02-01,Himaxx Warehouse Outlet,S005,,,store_cm,-29282.03,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000072,Negative Store CM,Store,Himaxx Qingdao Warehouse 6,2026-02-01,Himaxx Warehouse Outlet,S006,,,store_cm,-36292.42,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000073,Negative Store CM,Store,Himaxx Wuhan Warehouse 7,2026-02-01,Himaxx Warehouse Outlet,S007,,,store_cm,-16840.04,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000074,Negative Store CM,Store,Himaxx Changsha Warehouse 9,2026-02-01,Himaxx Warehouse Outlet,S009,,,store_cm,-23810.07,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000075,Negative Store CM,Store,Himaxx Chengdu Warehouse 11,2026-02-01,Himaxx Warehouse Outlet,S011,,,store_cm,-28296.54,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000076,Negative Store CM,Store,Himaxx Beijing Warehouse 12,2026-02-01,Himaxx Warehouse Outlet,S012,,,store_cm,-10345.42,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000077,Negative Store CM,Store,Himaxx Shenzhen Warehouse 13,2026-02-01,Himaxx Warehouse Outlet,S013,,,store_cm,-16576.78,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000078,Negative Store CM,Store,Himaxx Tianjin Warehouse 14,2026-02-01,Himaxx Warehouse Outlet,S014,,,store_cm,-20850.17,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000079,Negative Store CM,Store,Himaxx Hangzhou Warehouse 15,2026-02-01,Himaxx Warehouse Outlet,S015,,,store_cm,-17552.6,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000080,Negative Store CM,Store,Himaxx Chengdu Warehouse 16,2026-02-01,Himaxx Warehouse Outlet,S016,,,store_cm,-5260.44,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000081,Negative Store CM,Store,Himaxx Hangzhou Warehouse 17,2026-02-01,Himaxx Warehouse Outlet,S017,,,store_cm,-23378.83,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000082,Negative Store CM,Store,Himaxx Qingdao Warehouse 19,2026-02-01,Himaxx Warehouse Outlet,S019,,,store_cm,-50092.42,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000083,Negative Store CM,Store,Himaxx Changsha Warehouse 21,2026-02-01,Himaxx Warehouse Outlet,S021,,,store_cm,-19154.02,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000084,Negative Store CM,Store,Himaxx Xiamen Warehouse 22,2026-02-01,Himaxx Warehouse Outlet,S022,,,store_cm,-48778.84,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000085,Negative Store CM,Store,Himaxx Changsha Warehouse 23,2026-02-01,Himaxx Warehouse Outlet,S023,,,store_cm,-31530.35,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000086,Negative Store CM,Store,Himaxx Chongqing Warehouse 24,2026-02-01,Himaxx Warehouse Outlet,S024,,,store_cm,-37614.95,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000087,Negative Store CM,Store,Himaxx Hangzhou Warehouse 25,2026-02-01,Himaxx Warehouse Outlet,S025,,,store_cm,-4693.38,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000088,Negative Store CM,Store,Himaxx Beijing Warehouse 26,2026-02-01,Himaxx Warehouse Outlet,S026,,,store_cm,-2050.53,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000089,Negative Store CM,Store,Himaxx Chengdu Warehouse 27,2026-02-01,Himaxx Warehouse Outlet,S027,,,store_cm,-53507.78,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000090,Negative Store CM,Store,Himaxx Chongqing Warehouse 28,2026-02-01,Himaxx Warehouse Outlet,S028,,,store_cm,-37316.94,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000091,Negative Store CM,Store,Himaxx Suzhou Warehouse 29,2026-02-01,Himaxx Warehouse Outlet,S029,,,store_cm,-17628.49,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000092,Negative Store CM,Store,Himaxx Beijing Warehouse 30,2026-02-01,Himaxx Warehouse Outlet,S030,,,store_cm,-25011.27,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000093,Negative Store CM,Store,Himaxx Xi'an Warehouse 31,2026-02-01,Himaxx Warehouse Outlet,S031,,,store_cm,-21317.63,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000094,Negative Store CM,Store,Himaxx Wuhan Warehouse 32,2026-02-01,Himaxx Warehouse Outlet,S032,,,store_cm,-19166.08,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000095,Negative Store CM,Store,Himaxx Chongqing Warehouse 33,2026-02-01,Himaxx Warehouse Outlet,S033,,,store_cm,-28573.08,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000096,Negative Store CM,Store,Himaxx Shenzhen Warehouse 34,2026-02-01,Himaxx Warehouse Outlet,S034,,,store_cm,-1055.42,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000097,Negative Store CM,Store,Himaxx Chongqing Warehouse 35,2026-02-01,Himaxx Warehouse Outlet,S035,,,store_cm,-35000.77,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000098,Negative Store CM,Store,Himaxx Nanjing Warehouse 36,2026-02-01,Himaxx Warehouse Outlet,S036,,,store_cm,-14096.96,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000099,Negative Store CM,Store,Himaxx Shenzhen Warehouse 37,2026-02-01,Himaxx Warehouse Outlet,S037,,,store_cm,-54332.96,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000100,Negative Store CM,Store,Himaxx Qingdao Warehouse 38,2026-02-01,Himaxx Warehouse Outlet,S038,,,store_cm,-729.45,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000101,Negative Store CM,Store,Himaxx Shenzhen Warehouse 39,2026-02-01,Himaxx Warehouse Outlet,S039,,,store_cm,-45621.59,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000102,Negative Store CM,Store,Himaxx Xiamen Warehouse 40,2026-02-01,Himaxx Warehouse Outlet,S040,,,store_cm,-2674.59,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000103,Negative Store CM,Store,Himaxx Shanghai Warehouse 41,2026-02-01,Himaxx Warehouse Outlet,S041,,,store_cm,-31425.39,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000104,Negative Store CM,Store,Himaxx Hangzhou Warehouse 43,2026-02-01,Himaxx Warehouse Outlet,S043,,,store_cm,-17656.68,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000105,Negative Store CM,Store,Himaxx Changsha Warehouse 44,2026-02-01,Himaxx Warehouse Outlet,S044,,,store_cm,-16160.83,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000106,Negative Store CM,Store,Himaxx Beijing Warehouse 45,2026-02-01,Himaxx Warehouse Outlet,S045,,,store_cm,-33045.28,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000107,Negative Store CM,Store,Himaxx Shanghai Warehouse 46,2026-02-01,Himaxx Warehouse Outlet,S046,,,store_cm,-15559.06,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000108,Negative Store CM,Store,Himaxx Xiamen Warehouse 47,2026-02-01,Himaxx Warehouse Outlet,S047,,,store_cm,-20467.19,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000109,Negative Store CM,Store,Himaxx Chongqing Warehouse 48,2026-02-01,Himaxx Warehouse Outlet,S048,,,store_cm,-17378.11,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000110,Negative Store CM,Store,Himaxx Shenzhen Warehouse 49,2026-02-01,Himaxx Warehouse Outlet,S049,,,store_cm,-9872.79,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
RISK000111,Negative Store CM,Store,Himaxx Suzhou Warehouse 50,2026-02-01,Himaxx Warehouse Outlet,S050,,,store_cm,-36672.45,High,Store contribution margin is negative.,"Review rent, payroll, gross margin, local marketing, and store positioning.",Store Operations / Finance
