brand,brand_owner,brand_tier,recognized_revenue,gross_profit,gross_margin_pct,revenue_share,gross_profit_share,gmroi,sell_through_rate,inventory_value,inventory_age_days,weeks_of_supply,return_rate,markdown_rate,discount_factor,discount_depth,price_cost_spread,buyout_revenue_share,consignment_revenue_share,own_brand_revenue_share,revenue_score,margin_score,gmroi_score,inventory_score,markdown_score,spread_score,final_brand_score,brand_tier_score_label
Lululemon,External Brand,Tier 1,409943.74,245536.87,0.5989526026181056,0.02580818446314719,0.039602343595732316,0.022267936832346964,0.00768674101092302,42336077.6,141.89461032388664,752.8475881410257,0.044585987261146494,0.7749189961304334,0.22787595336436242,0.7721240466356376,0.1494880918295503,0.43778960986207527,0.5622103901379248,0.0,33.33,95.24,95.24,71.43,85.71,90.48,76.86,B
New Balance,External Brand,Tier 3,843425.58,279330.44,0.33118563940164114,0.053098220135223695,0.04505286746396617,0.00869475820805281,0.00706915914962405,75269567.61,156.8729098135965,772.2092304002193,0.03880407124681934,0.816093432559441,0.18945772048771778,0.8105422795122822,0.09525426632742928,0.9304058456467493,0.06959415435325071,0.0,80.95,19.05,19.05,19.05,19.05,33.33,34.1,D
Nike,External Brand,Tier 1,616736.25,328864.68,0.5332339067145802,0.03882689586895426,0.053042184881889866,0.02347870117216774,0.008643043610553255,60477622.15,162.97381320949432,734.408508126935,0.03878685355244079,0.795562079193254,0.2100728357368578,0.7899271642631421,0.14326995539044307,0.6487614113812834,0.3512385886187167,0.0,52.38,80.95,100.0,33.33,66.67,85.71,71.24,B
On Running,External Brand,Tier 1,220487.32,117851.76000000001,0.5345058391566463,0.01388087405931595,0.01900816725765781,0.010827034123678527,0.006047756979650918,29019969.35,160.97464364035088,792.2827576754386,0.03882352941176471,0.7882658345801784,0.21289345477113983,0.7871065452288603,0.15122679291899374,0.7457309563198464,0.2542690436801536,0.0,4.76,85.71,23.81,90.48,76.19,95.24,54.95,C
Patagonia,External Brand,Tier 3,324057.01,132960.21,0.4102988236545168,0.020401148437236616,0.02144499081128111,0.01119003118960236,0.00908130613018472,33243615.15,132.55921052631578,729.1690484892787,0.03825717321997875,0.7996714323194706,0.2000099341577565,0.7999900658422434,0.10634799160295681,0.7867644029672433,0.21323559703275669,0.0,14.29,52.38,28.57,85.71,57.14,57.14,44.38,C
Puma,External Brand,Tier 3,881178.6499999999,333980.56,0.3790157194571158,0.05547498089417591,0.05386731895464454,0.011435090718150864,0.007460473838305214,73795515.46,146.68148887844612,751.9656565241228,0.039836711711711714,0.8068245156080249,0.1962862180788771,0.8037137819211229,0.10305267579557569,0.9381996715422009,0.06180032845779911,0.0,85.71,33.33,33.33,23.81,42.86,42.86,45.43,C
Reebok Underwear,External Brand,Tier 2,710059.2,272881.71,0.38430839287766433,0.04470208232318591,0.044012759633251755,0.011888217970589128,0.008776113399356921,75620605.52,172.56269188596494,715.4250833333333,0.03903822774550858,0.8183433419946353,0.18368433322952527,0.8163156667704747,0.10478538271439364,0.8266389056011104,0.17336109439888953,0.0,71.43,42.86,42.86,14.29,14.29,47.62,42.76,C
Salomon,External Brand,Tier 3,690784.27,175488.37,0.2540422207355706,0.04348862081514033,0.0283043060938058,0.00841322607918116,0.006139562056943023,57591321.72,151.61981658692184,798.5523674242424,0.03901590457256461,0.8051640736062805,0.19188730655292804,0.8081126934470718,0.087875363421068,0.945374537842328,0.05462546215767188,0.0,61.9,4.76,14.29,42.86,52.38,19.05,30.95,D
Skechers,External Brand,Tier 3,622914.6,228629.76,0.3670322705552254,0.03921585655043188,0.03687541635490351,0.012792777426039985,0.0076463392933242905,52042755.47,191.511302294197,747.1394833839406,0.03985133181912038,0.8227973386486044,0.17408074479903243,0.8259192552009675,0.0998546272804647,0.8729039743168647,0.12709602568313536,0.0,57.14,23.81,57.14,52.38,4.76,38.1,42.0,C
The North Face,External Brand,Tier 3,566956.45,215037.34,0.3792836998326768,0.03569298715031259,0.03468311143899616,0.00772832360190037,0.00685237929363642,55380270.09,171.62452485380118,780.2523812134503,0.04150943396226415,0.8214518709913713,0.18292711688850866,0.8170728831114913,0.0930118576292494,0.8869234312441457,0.11307656875585416,0.0,42.86,38.1,9.52,47.62,9.52,28.57,30.38,D
Under Armour,External Brand,Tier 3,701147.59,290870.78,0.4148495753939624,0.044141048082868874,0.046914194888607416,0.01880975478395677,0.00908647773247042,48870382.88,151.5297514619883,712.2186348684211,0.04262688157719462,0.815739900041749,0.19113989793494593,0.8088601020650541,0.11535239946398113,0.7737229903336044,0.22627700966639563,0.0,66.67,57.14,85.71,61.9,23.81,61.9,63.33,B
